"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.400869247029676,0.62029248554329,0.646258428680738,0.518112005495301
"2","CountryUSA",0.0431048688449197,0.38301893553291,0.112539785493754,0.910395425830082
"3","SexMale",0.941212475177764,0.312215728769595,3.01462222575067,0.00257299515516031
"4","Delivery.ModeVaginal",-0.673587308929892,0.384900544727468,-1.75002950283386,0.0801132230082469
"5","HLA.CategoryLow/No Risk",-0.423855602223936,0.414574257284716,-1.02238765378248,0.306597461596926
"6","HLA.CategoryStandard Risk",-0.582545376895699,0.289517130769931,-2.01212748740118,0.0442064998036808
"7","feeding_first_yearBreastmilk_and_formula",-0.446407976552544,0.335340151683579,-1.33120944304268,0.183120105115253
"8","feeding_first_yearFormula",-0.00539199727877873,0.325829061806527,-0.0165485461882477,0.986796773122335
"9","feeding_first_yearUnknown",19.1145375835767,9531.12726273615,0.00200548550624319,0.998399855150278
"10","Age.at.Gluten.Introduction..months.11",19.6116044625472,2242.97379411319,0.00874357271316276,0.99302372721544
"11","Age.at.Gluten.Introduction..months.12",0.714052336798783,18702.1343084323,3.81802592700254e-05,0.999969536560608
"12","Age.at.Gluten.Introduction..months.15",-0.11852816405721,3594.48232948988,-3.2975030391659e-05,0.999973689732363
"13","Age.at.Gluten.Introduction..months.36",19.4219936191992,2242.97378257873,0.00865903728793026,0.99309117417271
"14","Age.at.Gluten.Introduction..months.4",19.9595460541462,2242.97385496199,0.00889869759738437,0.992899960280844
"15","Age.at.Gluten.Introduction..months.5",19.8168143353683,2242.97383999848,0.00883506262176543,0.992950731649507
"16","Age.at.Gluten.Introduction..months.6",18.9256843925475,2242.97375927689,0.00843776451430664,0.993267717851553
"17","Age.at.Gluten.Introduction..months.7",18.2409325014715,2242.97375324323,0.00813247701855449,0.993511293670016
"18","Age.at.Gluten.Introduction..months.8",18.4307014757877,2242.97377386479,0.00821708291489756,0.993443790187157
"19","Age.at.Gluten.Introduction..months.9",20.15963763612,2242.97376589777,0.00898790611937937,0.992828785024925
"20","Age.at.Gluten.Introduction..months.Unknown",0.921883031919241,9791.49197908028,9.41514361538427e-05,0.999924878022826
"21","Age.at.Solid.Introduction..months.11",-18.1155349317778,34773.9514768705,-0.00052095129148113,0.999584341026398
"22","Age.at.Solid.Introduction..months.4",0.682365193747193,33442.2906704609,2.04042599973547e-05,0.999983719755975
"23","Age.at.Solid.Introduction..months.5",0.823657467724296,33442.2906682738,2.46292180130378e-05,0.999980348727205
"24","Age.at.Solid.Introduction..months.6",0.930714867983904,33442.290669248,2.78304760038387e-05,0.999977794492879
"25","Age.at.Solid.Introduction..months.7",0.259972435012075,33442.2906687737,7.77376279594451e-06,0.999993797434686
"26","Age.at.Solid.Introduction..months.8",20.6549938310581,33366.9847111908,0.000619024883723782,0.999506089634068
"27","Age.at.Solid.Introduction..months.Unknown",1.04277094415127,33442.2906710091,3.11812056898136e-05,0.999975120997397
