"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.257797353774308,0.62117257119386,0.415017284615185,0.67812924993349
"2","CountryUSA",0.0491040384844816,0.382467557356296,0.128387460687908,0.897842353954441
"3","SexMale",0.942967775820838,0.313286580026174,3.00992074330811,0.0026131586898338
"4","Delivery.ModeVaginal",-0.669496136819501,0.385793928163824,-1.73537240465642,0.0826748646239455
"5","HLA.CategoryLow/No Risk",-0.411820586955194,0.413107478508886,-0.996884850503465,0.318820405942189
"6","HLA.CategoryStandard Risk",-0.563894116078216,0.286843576805346,-1.96585931035464,0.0493148643881908
"7","feeding_first_yearBreastmilk_and_formula",-0.449272969938264,0.335213756221326,-1.34025815349186,0.180161431134391
"8","feeding_first_yearFormula",-0.0129799704328356,0.325152660558905,-0.0399196193275008,0.968157209607784
"9","feeding_first_yearUnknown",19.0486327903895,9553.58598305048,0.00199387254421373,0.99840912093486
"10","Age.at.Gluten.Introduction..months.11",19.6160510395315,2244.19015580469,0.00874081502799296,0.993025927445782
"11","Age.at.Gluten.Introduction..months.12",0.708950603175276,18704.2866353854,3.7903108362019e-05,0.999969757695039
"12","Age.at.Gluten.Introduction..months.15",-0.122527305143199,3594.24495728698,-3.40898593722131e-05,0.999972800227532
"13","Age.at.Gluten.Introduction..months.36",19.4144817116835,2244.19014454172,0.00865099677890623,0.993097589330439
"14","Age.at.Gluten.Introduction..months.4",19.9618642840426,2244.19021633912,0.00889490745423789,0.992902984257863
"15","Age.at.Gluten.Introduction..months.5",19.8069583456499,2244.19020147666,0.00882588219689088,0.992958056283193
"16","Age.at.Gluten.Introduction..months.6",18.9232348245804,2244.19012146213,0.00843209968870713,0.993272237567651
"17","Age.at.Gluten.Introduction..months.7",18.2378905620715,2244.19011511614,0.00812671370363277,0.993515891978057
"18","Age.at.Gluten.Introduction..months.8",18.4230019593558,2244.19013619497,0.00820919834831464,0.993450080948925
"19","Age.at.Gluten.Introduction..months.9",20.1565899913349,2244.19012757365,0.00898167661628901,0.992833755248644
"20","Age.at.Gluten.Introduction..months.Unknown",0.953608879374304,9813.63332810374,9.7171847316061e-05,0.999922468083404
"21","Age.at.Solid.Introduction..months.11",-18.0655296964472,34785.5365398497,-0.000519340263035805,0.999585626440948
"22","Age.at.Solid.Introduction..months.4",0.677587962758667,33447.8856029948,2.02580208148643e-05,0.999983836437961
"23","Age.at.Solid.Introduction..months.5",0.825302887453395,33447.8856008212,2.46742917415722e-05,0.999980312763573
"24","Age.at.Solid.Introduction..months.6",0.933238407765505,33447.885601799,2.79012676279696e-05,0.999977738009336
"25","Age.at.Solid.Introduction..months.7",0.267594031207665,33447.8856013066,8.00032726724024e-06,0.999993616662392
"26","Age.at.Solid.Introduction..months.8",20.6640004778285,33372.5156336097,0.000619192173125171,0.999505956156463
"27","Age.at.Solid.Introduction..months.Unknown",1.07066383903225,33447.8856034597,3.20099109320532e-05,0.999974459786279
