"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.0105562248058367,0.989499296598026,0.989499296598026,0.419556861547836,-0.02516041512679,1.54465178744143,9.50547590369461
"CountryUSA","CountryUSA",-0.729032230626688,0.482375592596926,0.482375592596926,0.308953750128552,-2.35968079469288,1.30117960088705,2.42014374598862
"SexMale","SexMale",0.403424537738236,1.49694226526757,1.49694226526757,0.264490527277887,1.52528917345451,2.43852958774338,12.3524264966589
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.222017378838071,0.800901445477181,0.800901445477181,0.326018214672308,-0.680996854918761,1.52613526041223,4.56013305819775
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.709403547297895,0.491937527441048,0.491937527441048,0.345347635005056,-2.05417230463301,1.28403244267111,2.63264471756666
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.01159740290424,0.363637639556507,0.363637639556507,0.264203612651068,-3.8288553012341,1.24192150953039,1.84102496112353
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.278577356357686,0.75685971757429,0.75685971757429,0.259806341293558,-1.07225002658006,1.57593637010012,3.52329931877489
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0744586606148822,0.928245846378361,0.928245846378361,0.306990521533754,-0.24254384221011,1.66291439462311,5.4424845043385
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.620461707335406,1.859786520727,1.859786520727,0.705099998777875,0.879962712254759,1.59513966909389,1647.55961734088
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.23702463403507,9.36542422668016,9.36542422668016,0.612668745592867,3.65127917839247,16.7522297560948,32734767153354
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0835097943703,1.03519090251966e-07,1.03519090251966e-07,10985.2693984664,-0.00146409789427791,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4734305811998,1.90534876346909e-07,1.90534876346909e-07,1665.55880455051,-0.00929023372751808,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.31393547595983,10.1141504296955,10.1141504296955,0.662615475560412,3.49212410712684,15.7999444903837,12489889991017692
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.4858225558972,12.0109959081514,12.0109959081514,0.703826231354607,3.53186972175348,20.5589961167714,5.28949326894784e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.1584186333559,23.5333516310912,23.5333516310912,0.663187349953531,4.76248323128783,610.769576506786,3.12659713401207e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.84973612600868,6.35814155303631,6.35814155303631,0.496672225270495,3.72425924361139,11.0445743585405,20389933.6658841
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.10809846283771,3.02859393159205,3.02859393159205,0.506314172392593,2.18855904744158,3.0731557466498,3532.97150118036
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.27484670719078,3.5781528629543,3.5781528629543,0.548837931210345,2.32281086035613,3.38840002778965,36002.0399273134
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.86779787282477,17.5982219755574,17.5982219755574,0.536558960987781,5.34479541175732,467.881006275874,7.52059219166742e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.05338594112106,7.79424734031472,7.79424734031472,0.855999891457861,2.39881565595051,4.28854550982833,1321900409709079296
