"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.319834013927852,0.726269577703905,0.726269577703905,0.300124412476146,-1.06567143701871,1.49676039279896,3.69828392805451
"CountryUSA","CountryUSA",-0.702498339777676,0.495346213452781,0.495346213452781,0.308546226368418,-2.27680094501905,1.31070659229316,2.47655274205857
"SexMale","SexMale",0.395555194191215,1.48520854121732,1.48520854121732,0.265996635439586,1.48706841173957,2.41524616184609,12.201039854471
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.222705050632278,0.800350877469928,0.800350877469928,0.325514560503876,-0.684163099455656,1.52632850795875,4.54856884817911
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.737516909423464,0.478300104686691,0.478300104686691,0.345620130137402,-2.13389454234122,1.27499858458734,2.56422751830074
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.03148127905205,0.356478525113828,0.356478525113828,0.261833013991373,-3.93946226768041,1.23785920167143,1.81399806056583
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.274244167822226,0.760146449296763,0.760146449296763,0.260610783641818,-1.05231320051263,1.57791624400725,3.54969884308464
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0771721337807302,0.925730490401743,0.925730490401743,0.306666034089576,-0.25164878141734,1.66116018811089,5.41173850095088
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.59882978384171,1.81998777465153,1.81998777465153,0.695570670373119,0.860918680657546,1.59294350595576,1229.56619622691
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.17345458567229,8.78859260492538,8.78859260492538,0.613887463864629,3.54047722686771,13.993923503242,5163312408504.06
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.2166676952727,9.06130408718558e-08,9.06130408718558e-08,10984.1727173765,-0.00147636677904916,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.6061310132871,1.66856610471313e-07,1.66856610471313e-07,1662.39062142535,-0.00938776411040283,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.36266299691869,10.6191927100191,10.6191927100191,0.662267539789517,3.56753555771373,18.1705478772747,77411719173067728
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.49906623919346,12.1711237346789,12.1711237346789,0.701447362236715,3.56272811579853,21.7132339234614,7.98014382613561e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.07024438969884,21.5471679374714,21.5471679374714,0.66852457432987,4.59256773436707,334.356119958615,4.91525705149426e+34
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.77223007525545,5.88396041561884,5.88396041561884,0.498547395903407,3.55478754842161,9.15821853782931,6154550.05894856
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.02305902309199,2.78169101928107,2.78169101928107,0.510185723262114,2.00526783962236,2.78259115616704,1921.78389435526
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.15581374312795,3.1766073084407,3.1766073084407,0.556276926817203,2.07776682333574,2.90875698647549,12717.9862251968
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.76504914408784,15.8798203707253,15.8798203707253,0.542187679564038,5.0998007669801,241.530412666211,91011628538505297920
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",1.99049615917008,7.31916433206553,7.31916433206553,0.846226321837808,2.35220307830556,4.0295132910864,49407236084966360
