"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-0.308472673362124,0.33640868669529,-0.916958109472158,0.359164591789282
"2","CountryUSA",0.0122452076722057,0.38219393919198,0.032039251323802,0.974440748923762
"3","SexMale",0.96920199567704,0.313354476048519,3.09298915368604,0.00198151377228263
"4","Delivery.ModeVaginal",-0.717335637454797,0.384159504223021,-1.86728593089383,0.0618616690519762
"5","HLA.CategoryLow/No Risk",-0.47035844908077,0.419193899478173,-1.12205461402537,0.261839219606818
"6","HLA.CategoryStandard Risk",-0.595689187656138,0.289708684572528,-2.05616613991082,0.039766504815484
"7","feeding_first_yearBreastmilk_and_formula",-0.440442349884954,0.334108761449327,-1.31826040111718,0.187416492031819
"8","feeding_first_yearFormula",-0.0342285069074719,0.327942183834998,-0.10437360179529,0.916872870959114
"9","feeding_first_yearUnknown",18.9047592470414,9544.07877775416,0.00198078407432109,0.99841956400229
"10","Age.at.Gluten.Introduction..months.11",19.5817423927839,2241.29547826181,0.00873679645665018,0.993029133679385
"11","Age.at.Gluten.Introduction..months.12",0.685252191652676,18710.6130841962,3.66237166344629e-05,0.999970778501945
"12","Age.at.Gluten.Introduction..months.15",-0.1264018664721,3590.91446445056,-3.52004671020311e-05,0.999971914090772
"13","Age.at.Gluten.Introduction..months.36",19.4277824181846,2241.29546855517,0.00866810409013523,0.993083940182702
"14","Age.at.Gluten.Introduction..months.4",19.8789167788274,2241.29553904855,0.00886938667056207,0.992923346093922
"15","Age.at.Gluten.Introduction..months.5",19.7834560526858,2241.29552316507,0.00882679497112831,0.99295732802309
"16","Age.at.Gluten.Introduction..months.6",18.9420683953753,2241.29544327046,0.00845139289969528,0.993256844360969
"17","Age.at.Gluten.Introduction..months.7",18.1959785553538,2241.29543814409,0.00811850961086194,0.993522437681078
"18","Age.at.Gluten.Introduction..months.8",18.4093157052064,2241.29545818262,0.0082136942891652,0.993446493828072
"19","Age.at.Gluten.Introduction..months.9",20.1886417781446,2241.2954503483,0.00900757719157785,0.992813090415449
"20","Age.at.Gluten.Introduction..months.Unknown",1.0870972818042,9803.71581241926,0.00011088624992853,0.999911525573358
"21","Age.at.Solid.Introduction..months.11",-17.8502834903535,34790.2193631723,-0.000513083384270038,0.999590618707248
"22","Age.at.Solid.Introduction..months.4",0.751352114433937,33455.4665756069,2.24582763697507e-05,0.999982080888024
"23","Age.at.Solid.Introduction..months.5",0.923870910841717,33455.466573546,2.76149462393761e-05,0.999977966460751
"24","Age.at.Solid.Introduction..months.6",1.00922110423367,33455.4665744564,3.01661046031929e-05,0.999975930930881
"25","Age.at.Solid.Introduction..months.7",0.348264668785676,33455.4665739341,1.04097985904945e-05,0.999991694182424
"26","Age.at.Solid.Introduction..months.8",20.7978114097802,33380.3041552615,0.000623056378187674,0.999502872967499
"27","Age.at.Solid.Introduction..months.Unknown",1.13193997683528,33455.466576078,3.38342307754472e-05,0.999973004189643
