"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-0.161572184310141,0.472141927434054,-0.342211049097537,0.732192070692481
"2","CountryUSA",0.0448594284780046,0.381651315363618,0.11754034814544,0.906431872425913
"3","SexMale",0.930889311507645,0.310491574012979,2.99811456870238,0.00271655529764433
"4","Delivery.ModeVaginal",-0.689163484291104,0.383849678360304,-1.79539940540008,0.072590087142189
"5","HLA.CategoryLow/No Risk",-0.408434303434902,0.412450178384668,-0.990263369589285,0.322045405831267
"6","HLA.CategoryStandard Risk",-0.571160333035187,0.287530029161355,-1.98643715475946,0.0469848045068516
"7","feeding_first_yearBreastmilk_and_formula",-0.44271198960748,0.333802532674578,-1.32626911503717,0.18475057315886
"8","feeding_first_yearFormula",-0.0108987377149546,0.325130876621757,-0.0335210787366519,0.973259056875141
"9","feeding_first_yearUnknown",18.9692010494264,9567.74025069263,0.00198262082293185,0.998418098491809
"10","Age.at.Gluten.Introduction..months.11",19.6382899638296,2244.47845623259,0.00874960056279304,0.993018917871253
"11","Age.at.Gluten.Introduction..months.12",0.71026753925392,18700.5060095728,3.79811936046188e-05,0.999969695392029
"12","Age.at.Gluten.Introduction..months.15",-0.106410095896336,3595.14338058183,-2.95982898682375e-05,0.999976383981491
"13","Age.at.Gluten.Introduction..months.36",19.4098024866386,2244.47844410633,0.00864780080094146,0.993100139256529
"14","Age.at.Gluten.Introduction..months.4",19.9604595748235,2244.47851636061,0.00889313906518876,0.992904395172377
"15","Age.at.Gluten.Introduction..months.5",19.8385565599928,2244.47850129404,0.00883882672458434,0.992947728447247
"16","Age.at.Gluten.Introduction..months.6",18.95596930803,2244.47842121632,0.00844560104870931,0.993261465424528
"17","Age.at.Gluten.Introduction..months.7",18.2400053849361,2244.47841537796,0.00812661207163559,0.99351597306598
"18","Age.at.Gluten.Introduction..months.8",18.4444560851788,2244.47843563256,0.00821770251491881,0.993443295834557
"19","Age.at.Gluten.Introduction..months.9",20.1659913612902,2244.47842799993,0.00898471159701021,0.99283133378209
"20","Age.at.Gluten.Introduction..months.Unknown",1.04273033917866,9827.47785265016,0.00010610355523696,0.999915341611589
"21","Age.at.Solid.Introduction..months.11",-17.9857174537126,34779.8563656007,-0.00051713029705038,0.99958738973845
"22","Age.at.Solid.Introduction..months.4",0.665433402239667,33437.8981000799,1.99005750973946e-05,0.99998412163838
"23","Age.at.Solid.Introduction..months.5",0.835276458024032,33437.8980979663,2.49799331159166e-05,0.999980068897039
"24","Age.at.Solid.Introduction..months.6",0.931485111027594,33437.8980989299,2.78571669867432e-05,0.999977773196556
"25","Age.at.Solid.Introduction..months.7",0.272855321646845,33437.8980984418,8.16006200041506e-06,0.999993489212515
"26","Age.at.Solid.Introduction..months.8",20.6828672106585,33362.4879525731,0.00061994378956571,0.999505356453424
"27","Age.at.Solid.Introduction..months.Unknown",1.07078010668351,33437.8981005383,3.20229490341761e-05,0.999974449383379
