"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.0293701148689106,0.971056995315744,0.971056995315744,0.320092199596798,-0.0917551721219899,1.6795726455154,6.1624628435779
"CountryUSA","CountryUSA",-0.733530541456298,0.480210590322095,0.480210590322095,0.313006618850371,-2.34349849901083,1.29695079389809,2.42753689340126
"SexMale","SexMale",0.405424786797629,1.49993951925354,1.49993951925354,0.265430500379042,1.52742351093289,2.43887294271034,12.4725563576551
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.225748820796648,0.79791849702947,0.79791849702947,0.328556892488894,-0.687092025635345,1.52055240428117,4.56875610481683
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.716428294190124,0.488493900289615,0.488493900289615,0.352093638819536,-2.03476636667476,1.27761440281093,2.64853422042171
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.0166797395518,0.36179419911504,0.36179419911504,0.266207400659526,-3.81912650449607,1.23951046413429,1.83972840486081
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.276645474868705,0.758323294125458,0.758323294125458,0.26065755542301,-1.06133687327708,1.57612531008378,3.53933958360933
"feeding_first_yearFormula","feeding_first_yearFormula",-0.07646737061193,0.926383141110691,0.926383141110691,0.307799970224187,-0.248432027320324,1.65988212040294,5.43859349244226
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.617563122108448,1.8544035762233,1.8544035762233,0.693392642901306,0.89063985381274,1.61029457794312,1363.85551261477
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.2319975967091,9.31846202877883,9.31846202877883,0.614914620869091,3.62976829784028,16.3149308842227,32104231397957.4
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0967817010799,1.02154271450989e-07,1.02154271450989e-07,11041.6679934485,-0.00145782156379189,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4776348895624,1.89735490582563e-07,1.89735490582563e-07,1667.54534643209,-0.00928168755511123,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.31603186466602,10.1353758610328,10.1353758610328,0.662899048633053,3.49379271163814,15.8673217394196,13781810493276794
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.4772449188998,11.9084105442634,11.9084105442634,0.710301732310861,3.48759520948999,19.2916804018252,6.43944043581796e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.15672643017202,23.4935620940192,23.4935620940192,0.662677707586344,4.76359230744262,608.060166251075,2.47916361211778e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.84870356499412,6.35157977224614,6.35157977224614,0.496052631987793,3.72682946482101,11.0493992306717,19634073.8781188
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.10500485552365,3.01923912875798,3.01923912875798,0.507458846247276,2.17752604707812,3.05484515939609,3508.5299266882
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.27128353578768,3.56542597849772,3.56542597849772,0.549806854101063,2.31223660873823,3.36594967389662,35379.4560312128
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.87163656722908,17.665905997806,17.665905997806,0.537431985147962,5.34325579159284,474.048131457427,9.9540122629019e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.05256998783914,7.78789019253783,7.78789019253783,0.845682058277231,2.42711781307091,4.4126641268274,554546148648597696
