"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.695032566654285,2.00377432910444,2.00377432910444,0.328355586226721,2.11670699634262,2.86570648042451,45.3174321845837
"CountryUSA","CountryUSA",-0.660014351057746,0.516843917181575,0.516843917181575,0.312531912046725,-2.11183026634116,1.32327805309877,2.59515358724028
"SexMale","SexMale",0.462311383119132,1.58773962157614,1.58773962157614,0.264438163646373,1.74827784592156,2.57425465650433,14.3831467268877
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.165716760781899,0.847286184882586,0.847286184882586,0.32831078904189,-0.504755756780063,1.56082843657339,5.01513004493461
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.683092523944583,0.50505268725818,0.50505268725818,0.342688874371979,-1.99333148820905,1.29435395267042,2.68755122871327
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.976244327905137,0.376723294484187,0.376723294484187,0.259332227759982,-3.76445433079253,1.25434019495114,1.87063324585044
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.273433127803157,0.760763208561911,0.760763208561911,0.260582578440395,-1.04931469110358,1.57854012511325,3.55310038980029
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0365678500403672,0.964092677949995,0.964092677949995,0.305881609302626,-0.119549031155347,1.69784692297066,5.78832528722664
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.490861158746629,1.63372250877751,1.63372250877751,0.68453001404641,0.71707762796994,1.53276933138472,517.798771138448
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.25137827189346,9.50082153174588,9.50082153174588,0.614426322289216,3.66419567362498,17.2782178751498,57241177484303.4
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.2188657625201,9.0414086052672e-08,9.0414086052672e-08,12032.33499508,-0.00134794001074205,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.5074530026294,1.84161452907226e-07,1.84161452907226e-07,1692.20262073118,-0.00916406393220737,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.29349000582941,9.90946148033364,9.90946148033364,0.664875392897836,3.44950351649098,14.7641005483782,6931190519037716
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.59708851935591,13.4245956311413,13.4245956311413,0.707613713926197,3.67020659470541,28.6205688208044,2.16261266023245e+23
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.01971346417562,20.4854210361533,20.4854210361533,0.662917622838135,4.555186587509,266.898316110304,4.18440667152232e+32
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.82903003968482,6.22784296740072,6.22784296740072,0.49724614036949,3.67831922903558,10.486313552444,14712302.2781303
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.11606206158227,3.05280872891538,3.05280872891538,0.506246253190716,2.20458335157657,3.10133321868576,3767.32282695368
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.2671843479723,3.55084054241462,3.55084054241462,0.549043984529377,2.30798330129869,3.35534221098523,33371.4237959836
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.82507357354513,16.8621855512218,16.8621855512218,0.537500569584907,5.25594526481496,357.883000469288,1.00002169342083e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.24525899160118,9.4428608614442,9.4428608614442,0.84039805802198,2.67166132783051,6.16369569482308,1.9631766715799e+21
