"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.668402846030655,1.95111859394856,1.95111859394856,0.193531737780197,3.45371179785402,3.80078909287162,17.3074600762432
"CountryUSA","CountryUSA",-0.562917468434323,0.569545008031115,0.569545008031115,0.31037110436621,-1.81369161147853,1.36340369716245,2.84751024198405
"SexMale","SexMale",0.271924250428582,1.31248757717403,1.31248757717403,0.266440556648235,1.02058130282165,2.1783664047568,9.13883844886765
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.363136043441066,0.695491809963725,0.695491809963725,0.332279837857719,-1.09286210617618,1.43709344814544,3.79588655012334
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.558693332875887,0.571955931801176,0.571955931801176,0.347172843881442,-1.6092656517417,1.33593752368309,3.09403175784962
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.966982301874809,0.380228724074546,0.380228724074546,0.262423941075846,-3.6848097696823,1.2552522478051,1.88880906544055
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.283249256986145,0.753331991194183,0.753331991194183,0.257166551025813,-1.10142339995731,1.57629633733441,3.4800926868113
"feeding_first_yearFormula","feeding_first_yearFormula",-0.177792581155453,0.837116039124155,0.837116039124155,0.310685343797114,-0.572259312211254,1.57669948058511,4.65997569217145
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.495260387884236,1.64092546054184,1.64092546054184,0.690065402361911,0.717700650096485,1.52856650606887,569.986740494206
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.32298458566628,10.2060898440635,10.2060898440635,0.609115400083911,3.81370194440375,22.0430294838066,422606274343986
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-15.9288975069621,1.20828034226091e-07,1.20828034226091e-07,11283.1160256158,-0.00141174631819784,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.6087997037102,1.66411915473497e-07,1.66411915473497e-07,1664.84187916468,-0.00937554484846435,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.2651749118404,9.63280934617606,9.63280934617606,0.656427580189281,3.45076133331759,14.3067282473778,1398631534609570
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.28654296413563,9.84085860768078,9.84085860768078,0.703133380365111,3.25193345670535,11.9462500331295,90382121087247408
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.38042784530212,29.3833399482966,29.3833399482966,0.669164951299269,5.05171085057367,2740.84264534327,2.3303320468166e+47
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.87277119393502,6.5063016634338,6.5063016634338,0.495543749139574,3.77922473482264,11.7441196748279,29054788.0006713
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.09405855266081,2.98636984958494,2.98636984958494,0.50671059225641,2.15913890370617,3.02282738488788,3172.43003488092
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.2859806828187,3.61821453872994,3.61821453872994,0.550045476462838,2.33795338357916,3.42500879136515,41520.055387509
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.81347225472243,16.6676923309316,16.6676923309316,0.534665407342754,5.26211760866515,345.423223172121,4.39300850930817e+20
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.19723446511102,9.0000889904132,9.0000889904132,0.838328747368259,2.62096996197343,5.69987419978489,1.63078935009923e+20
