"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.626570402793747,0.419429170891812,1.49386462906598,0.135211005070554
"2","CountryUSA",0.117075587812397,0.38644449532754,0.302955765259813,0.761923572500406
"3","SexMale",0.877867933353983,0.311116583614088,2.82166872352552,0.00477744993762157
"4","Delivery.ModeVaginal",-0.672437455073156,0.385769374807886,-1.74310740817109,0.0813148548209869
"5","HLA.CategoryLow/No Risk",-0.355498550475399,0.416071103106862,-0.854417785375725,0.392873544891761
"6","HLA.CategoryStandard Risk",-0.517405235947383,0.288223128468869,-1.79515515876883,0.0726289825771952
"7","feeding_first_yearBreastmilk_and_formula",-0.46577767244764,0.33494592933207,-1.39060556244546,0.164345068674622
"8","feeding_first_yearFormula",-0.092729455778316,0.332869211621882,-0.278576247188793,0.780570043349223
"9","feeding_first_yearUnknown",18.9094372747232,9799.99356247235,0.00192953568328189,0.998460454224107
"10","Age.at.Gluten.Introduction..months.11",19.657592133591,2260.94154403633,0.00869442741031574,0.993062938003364
"11","Age.at.Gluten.Introduction..months.12",0.646890967048542,19389.754106207,3.33625152493017e-05,0.999973380564178
"12","Age.at.Gluten.Introduction..months.15",-0.132353990713036,3614.77810234772,-3.6614693064306e-05,0.999970785701712
"13","Age.at.Gluten.Introduction..months.36",19.3433454979279,2260.94153160027,0.00855543817811019,0.993173831241049
"14","Age.at.Gluten.Introduction..months.4",19.9834345339271,2260.9416038649,0.00883854518832643,0.992947953071907
"15","Age.at.Gluten.Introduction..months.5",19.8108788403866,2260.94158690219,0.00876222497527248,0.99300884543356
"16","Age.at.Gluten.Introduction..months.6",18.9030573562055,2260.94150906372,0.00836070162824929,0.993329202969697
"17","Age.at.Gluten.Introduction..months.7",18.2713423518489,2260.94150289396,0.00808129813551653,0.993552127168782
"18","Age.at.Gluten.Introduction..months.8",18.3888387664603,2260.9415242832,0.00813326597302875,0.99351066419624
"19","Age.at.Gluten.Introduction..months.9",20.117232191326,2260.94151567371,0.00889772338287642,0.992900737560786
"20","Age.at.Gluten.Introduction..months.Unknown",0.972571403234673,10057.421342369,9.67018652323441e-05,0.99992284307485
"21","Age.at.Solid.Introduction..months.11",-17.9642286537833,36296.8599210194,-0.000494925144843736,0.999605106884298
"22","Age.at.Solid.Introduction..months.4",0.604472475558878,34948.7304002009,1.72959780981172e-05,0.999986199806112
"23","Age.at.Solid.Introduction..months.5",0.762217968304726,34948.7303981248,2.1809603943313e-05,0.999982598453738
"24","Age.at.Solid.Introduction..months.6",0.831701616854287,34948.7303990755,2.37977633910355e-05,0.99998101213201
"25","Age.at.Solid.Introduction..months.7",0.177678372495586,34948.7303987189,5.08397216346661e-06,0.999995943577103
"26","Age.at.Solid.Introduction..months.8",20.6476823199495,34875.5409967648,0.000592039054587421,0.999527621206548
"27","Age.at.Solid.Introduction..months.Unknown",1.1312910039069,34948.7304005342,3.23700171920868e-05,0.999974172463054
