"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.654492458603166,1.92416567576873,1.92416567576873,0.323168185809531,2.02523790194159,2.77685367215109,37.5296444112149
"CountryUSA","CountryUSA",-0.746335651505296,0.47410064362379,0.47410064362379,0.309774472750622,-2.4092871335661,1.29477772123862,2.38706292543807
"SexMale","SexMale",0.370330084602923,1.448212568447,1.448212568447,0.26429439293531,1.40120295587794,2.36957206174324,11.3712108420181
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.169428073449385,0.844147468912496,0.844147468912496,0.328198999345682,-0.516235801410631,1.55840778786186,4.98350846479866
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.680084059704456,0.506574408080775,0.506574408080775,0.344015765295786,-1.97689794570815,1.29449017781232,2.70253814732637
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.00174080276131,0.367239592710987,0.367239592710987,0.261765069479671,-3.82686966122922,1.24589500236422,1.84675313468215
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.252539769457084,0.77682531830383,0.77682531830383,0.25806656891439,-0.978583822458848,1.59750486539914,3.62632590378917
"feeding_first_yearFormula","feeding_first_yearFormula",-0.141299161041445,0.868229532390558,0.868229532390558,0.306553436367739,-0.460928322042829,1.60977977648441,4.87118299956564
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.668964668949544,1.95221508508019,1.95221508508019,0.695431416437316,0.961941973195055,1.64797270055004,2057.43810211292
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.1710813434543,8.76775987625217,8.76775987625217,0.609682433964241,3.56100360205168,14.2129481726725,3790487007247.91
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.1173603825452,1.00073553878922e-07,1.00073553878922e-07,11190.9145159846,-0.00144021834493721,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.5034684666324,1.84896714711368e-07,1.84896714711368e-07,1673.4461427965,-0.00926439642731767,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.23084969204425,9.30777145979764,9.30777145979764,0.663064158203578,3.36445525586578,12.6508514759287,670267086679505
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.13452929787715,8.45306669384445,8.45306669384445,0.729780198470609,2.92489341633338,7.55493307438238,2217013544140527
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.13484828439651,22.9851483718332,22.9851483718332,0.658292693213782,4.76208883481935,558.740367721906,1.87063767055539e+36
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.80060789778771,6.05332614974205,6.05332614974205,0.494327158966827,3.64254292956731,9.94751584996221,8454414.79461499
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.07905580188439,2.94190050237506,2.94190050237506,0.505453909418715,2.13482531597259,2.98144446034372,2759.10601276618
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.23831602901288,3.44979920883845,3.44979920883845,0.547634488998006,2.2612089886424,3.25229297275896,24128.7926185495
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.81107781948554,16.6278303635914,16.6278303635914,0.535112715537335,5.25324429389196,338.892366738357,4.08748078925821e+20
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",1.91399797391683,6.78014151339631,6.78014151339631,0.852102957125426,2.24620505997739,3.5830896754053,4400660261092476
