"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",1.3556299854202,0.42252911409595,3.20837059552862,0.00133489366151022
"2","CountryUSA",0.0645567287915947,0.383699252761704,0.168248252575273,0.86638798188671
"3","SexMale",0.921949517334501,0.307649989992111,2.99674808166951,0.00272876108862911
"4","Delivery.ModeVaginal",-0.640384783420355,0.388863778083502,-1.64681006437901,0.0995970920406818
"5","HLA.CategoryLow/No Risk",-0.450739911080729,0.420204105925902,-1.07266898329692,0.283419661519832
"6","HLA.CategoryStandard Risk",-0.609631836862782,0.292161596009641,-2.08662550174002,0.0369220002259531
"7","feeding_first_yearBreastmilk_and_formula",-0.52174760868276,0.33841180221643,-1.5417535832544,0.123133485468255
"8","feeding_first_yearFormula",-0.0157572234018344,0.330302346155821,-0.0477054540642014,0.961950987339288
"9","feeding_first_yearUnknown",18.867435346644,9984.94162897412,0.00188958894781066,0.998492327049481
"10","Age.at.Gluten.Introduction..months.11",19.6824607996883,2269.2024500117,0.00867373503831131,0.993079447504983
"11","Age.at.Gluten.Introduction..months.12",0.644802492696508,20090.2655123415,3.2095269836051e-05,0.999974391679727
"12","Age.at.Gluten.Introduction..months.15",0.0456405263504389,3631.20458219746,1.25689768552834e-05,0.999989971407422
"13","Age.at.Gluten.Introduction..months.36",19.446972938172,2269.20243684675,0.00856995948109208,0.993162245342343
"14","Age.at.Gluten.Introduction..months.4",20.1404813014341,2269.20251010109,0.00887557686534416,0.992918407227477
"15","Age.at.Gluten.Introduction..months.5",19.9506340994943,2269.20249601901,0.00879191439921948,0.992985157613011
"16","Age.at.Gluten.Introduction..months.6",18.9880773952816,2269.2024155391,0.00836773188026532,0.993323593836366
"17","Age.at.Gluten.Introduction..months.7",18.2510478836243,2269.20241005066,0.00804293517527899,0.993582735387712
"18","Age.at.Gluten.Introduction..months.8",18.5326231008383,2269.20243057899,0.0081670206461526,0.993483732758174
"19","Age.at.Gluten.Introduction..months.9",20.2194992508301,2269.2024209443,0.00891039911830165,0.992890624188107
"20","Age.at.Gluten.Introduction..months.Unknown",1.16196084953521,10239.5477156822,0.000113477751342047,0.999909457854404
"21","Age.at.Solid.Introduction..months.11",-17.8377942161758,38194.9134975143,-0.000467020149615909,0.999627371846583
"22","Age.at.Solid.Introduction..months.4",0.670345299719838,36866.747789852,1.8182924719613e-05,0.999985492125097
"23","Age.at.Solid.Introduction..months.5",0.899898356415378,36866.7477878273,2.44094857944727e-05,0.999980524048149
"24","Age.at.Solid.Introduction..months.6",0.862065079324579,36866.7477887772,2.33832689626885e-05,0.999981342850715
"25","Age.at.Solid.Introduction..months.7",0.242288835284671,36866.7477883565,6.57201542906893e-06,0.999994756290356
"26","Age.at.Solid.Introduction..months.8",20.6994494406898,36796.8350178996,0.000562533419806913,0.999551163293072
"27","Age.at.Solid.Introduction..months.Unknown",1.14166097039978,36866.7477902516,3.09672276191841e-05,0.999975291727196
