"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.847848830503662,0.414776603213175,2.04410958558313,0.0409427224063634
"2","CountryUSA",0.0454842121657332,0.385724130109532,0.117919021951822,0.906131821063691
"3","SexMale",0.968366071153699,0.312917741656929,3.09463460277487,0.00197055497790225
"4","Delivery.ModeVaginal",-0.623686458176694,0.390008522543578,-1.59916110065776,0.109784811160906
"5","HLA.CategoryLow/No Risk",-0.426950718170737,0.414711940214133,-1.02951151575304,0.303239371216518
"6","HLA.CategoryStandard Risk",-0.562576019098,0.290221802369766,-1.93843472304411,0.0525702075606836
"7","feeding_first_yearBreastmilk_and_formula",-0.489134834562748,0.338739312292793,-1.44398602941001,0.148742905205773
"8","feeding_first_yearFormula",-0.0181680889805898,0.325319895543173,-0.0558468425371137,0.955463818198015
"9","feeding_first_yearUnknown",18.9895134015206,9594.15223739091,0.00197927997509916,0.998420764097484
"10","Age.at.Gluten.Introduction..months.11",19.6809431423625,2244.29698285514,0.00876931319371332,0.993003190070783
"11","Age.at.Gluten.Introduction..months.12",0.725852779987973,18758.152236582,3.86953240827432e-05,0.999969125598347
"12","Age.at.Gluten.Introduction..months.15",-0.0421191360367501,3587.02047956772,-1.17420952226696e-05,0.999990631163511
"13","Age.at.Gluten.Introduction..months.36",19.4320949452525,2244.29697230278,0.00865843299040505,0.993091656314301
"14","Age.at.Gluten.Introduction..months.4",20.063661163993,2244.29704433616,0.0089398420831266,0.992867133036695
"15","Age.at.Gluten.Introduction..months.5",19.8230964477658,2244.2970273459,0.008832652811205,0.992952654325126
"16","Age.at.Gluten.Introduction..months.6",18.9389209956172,2244.29694755033,0.00843868767735447,0.993266981300233
"17","Age.at.Gluten.Introduction..months.7",18.2132852395212,2244.29694213994,0.00811536338954989,0.993524947919793
"18","Age.at.Gluten.Introduction..months.8",18.3820665138432,2244.29696274848,0.00819056783436164,0.993464945448629
"19","Age.at.Gluten.Introduction..months.9",20.1898762412824,2244.29695480349,0.00899608057573211,0.992822263016085
"20","Age.at.Gluten.Introduction..months.Unknown",1.09973842037301,9853.152680191,0.000111612846777859,0.999910945832954
"21","Age.at.Solid.Introduction..months.11",-18.126790729965,34902.1372084137,-0.000519360479896206,0.999585610310229
"22","Age.at.Solid.Introduction..months.4",0.620962830039592,33557.5433095787,1.85044186432546e-05,0.999985235610059
"23","Age.at.Solid.Introduction..months.5",0.818925774180293,33557.5433074729,2.44036271271958e-05,0.999980528722689
"24","Age.at.Solid.Introduction..months.6",0.87217264172479,33557.5433083788,2.59903603106436e-05,0.999979262692781
"25","Age.at.Solid.Introduction..months.7",0.22770591451702,33557.5433079566,6.78553589061539e-06,0.999994585925676
"26","Age.at.Solid.Introduction..months.8",20.6310803683215,33482.4124649706,0.000616176638702656,0.999508362204362
"27","Age.at.Solid.Introduction..months.Unknown",0.964790070062812,33557.54331034,2.8750318852022e-05,0.999977060564473
