"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.530760240848231,0.404544488483365,1.31199473965904,0.189521909438072
"2","CountryUSA",0.0101432109419303,0.381659181838816,0.0265766197293114,0.978797421424976
"3","SexMale",0.967541203851085,0.309688183849234,3.12424320432618,0.00178263047493097
"4","Delivery.ModeVaginal",-0.713305666749492,0.382667215906152,-1.86403652338074,0.0623165754988469
"5","HLA.CategoryLow/No Risk",-0.42743882337683,0.409316819508526,-1.0442737825679,0.296358739050481
"6","HLA.CategoryStandard Risk",-0.610091596183451,0.290196827070452,-2.10233723897794,0.0355237447018234
"7","feeding_first_yearBreastmilk_and_formula",-0.483351052381797,0.336125975559252,-1.43800565123713,0.150432450694481
"8","feeding_first_yearFormula",-0.0593455251776184,0.327391412694268,-0.181267812399948,0.856157369461075
"9","feeding_first_yearUnknown",18.8503478351663,9583.28506858813,0.00196700272404016,0.998430559907485
"10","Age.at.Gluten.Introduction..months.11",19.696174246068,2234.890734676,0.00881303678093394,0.992968305043666
"11","Age.at.Gluten.Introduction..months.12",0.688589151310023,18769.4777720542,3.66866441183175e-05,0.999970728293077
"12","Age.at.Gluten.Introduction..months.15",-0.0388330661947597,3589.12861133506,-1.08196362961523e-05,0.999991367179246
"13","Age.at.Gluten.Introduction..months.36",19.4755675770672,2234.8907266808,0.00871432654158969,0.993047061395214
"14","Age.at.Gluten.Introduction..months.4",19.9567067734546,2234.89079230637,0.00892961161330824,0.992875295444807
"15","Age.at.Gluten.Introduction..months.5",19.8325783483982,2234.89077313952,0.00887407053031853,0.992919609061607
"16","Age.at.Gluten.Introduction..months.6",18.9782172810875,2234.89069954448,0.00849178766771712,0.993224615155761
"17","Age.at.Gluten.Introduction..months.7",18.2735839054313,2234.89069377431,0.00817650006612655,0.993476169527863
"18","Age.at.Gluten.Introduction..months.8",18.43235876994,2234.8907135459,0.00824754367550035,0.993419486840108
"19","Age.at.Gluten.Introduction..months.9",20.156941106588,2234.89070637403,0.0090192066435729,0.992803811832161
"20","Age.at.Gluten.Introduction..months.Unknown",1.17894262114135,9840.43119893313,0.000119805991963966,0.999904408648949
"21","Age.at.Solid.Introduction..months.11",-18.0538497928196,34938.2964749359,-0.000516735262286504,0.999587704930547
"22","Age.at.Solid.Introduction..months.4",0.700201862991764,33598.35121637,2.08403638167401e-05,0.99998337179547
"23","Age.at.Solid.Introduction..months.5",0.827562614789211,33598.3512145219,2.46310483959558e-05,0.99998034726677
"24","Age.at.Solid.Introduction..months.6",0.884832342683402,33598.3512154318,2.63355882260376e-05,0.999978987240757
"25","Age.at.Solid.Introduction..months.7",0.303462024066588,33598.3512148989,9.03205107076863e-06,0.999992793465898
"26","Age.at.Solid.Introduction..months.8",20.6459299652573,33523.9437464139,0.000615856240585232,0.999508617845025
"27","Age.at.Solid.Introduction..months.Unknown",1.06432504661962,33598.3512171252,3.16778951366258e-05,0.999974724696556
