"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.43998783352557,4.22064446632121,4.22064446632121,0.501595032068867,2.87081757485961,4.85077652851182,79279.1779491092
"CountryUSA","CountryUSA",0.421068100130842,1.52358803142021,1.52358803142021,0.559316919253962,0.752825608587844,1.66374050901662,95.5775934416436
"SexMale","SexMale",0.740178456699634,2.09630958160533,2.09630958160533,0.328502883187317,2.25318709387879,3.007521955059,54.10690913374
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18240350722921,0.306541078772,0.306541078772,0.583503250015212,-2.02638718327342,1.10261092604272,2.61688148107838
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.329637647033411,0.719184284782413,0.719184284782413,0.424598176104167,-0.776352008993416,1.36740055177234,5.22234510444023
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.487339020846261,0.614258751119057,0.614258751119057,0.295843773532476,-1.647285035028,1.41054537855523,2.99492042284077
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.201695921087278,0.817343427059272,0.817343427059272,0.324711559327381,-0.621154114454928,1.54114151578208,4.68582223603282
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0516997416282736,0.949613953580379,0.949613953580379,0.340300643139928,-0.151923725889096,1.62807246640203,6.36089767783592
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",20.0347484387731,502320258.194014,502320258.194014,2726.17530287904,0.00734903159661628,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.383167072065811,0.681698996911628,0.681698996911628,4354.97797672612,-8.79836991400491e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.8799585295825,430285082.520795,430285082.520795,2726.17529304908,0.00729225247557278,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.948352696906,460743799.448749,460743799.448749,2726.17535187336,0.00731734027424099,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.2162764917512,602306187.903753,602306187.903753,2726.17534314784,0.00741561856707575,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.6585372141155,344821418.731525,344821418.731525,2726.1752745702,0.00721103202625692,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.7986022941572,145924846.064246,145924846.064246,2726.17527009056,0.00689559563554135,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.975333577165,174133634.567992,174133634.567992,2726.17529113739,0.00696042313891278,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.4553889185353,765001932.961949,765001932.961949,2726.175279253,0.00750332859160113,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.465089546923229,1.59215675524255,1.59215675524255,42716.0322849314,1.0887938838067e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.475077224347585,1.60813838012799,1.60813838012799,42716.0322832418,1.11217545018563e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.716290347157556,2.04682609524683,2.04682609524683,42716.0322839947,1.67686535677131e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.233762363432646,1.26334423974519,1.26334423974519,42716.0322835905,5.47247370450292e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.4777318299217,2126475667.16062,2126475667.16062,42628.9423468867,0.000503829807813431,1,Inf
