"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.910877770940237,0.402171054990475,0.402171054990475,1.04805903687023,-0.869109218942812,1.05291091314109,23.0356177302067
"CountryUSA","CountryUSA",0.418213896587103,1.51924560109969,1.51924560109969,0.558500518740963,0.748815592024676,1.66267935387895,93.6600898485681
"SexMale","SexMale",0.711725402432999,2.03750374146493,2.03750374146493,0.324153930037686,2.19564020818829,2.94288164409862,46.8093879762478
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.1759370518655,0.308529735826415,0.308529735826415,0.581375743240769,-2.02267993726478,1.10376321361777,2.62267603069041
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.377148933806028,0.685813925411389,0.685813925411389,0.424291985482957,-0.88889007266242,1.34793187046156,4.83220891874643
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.45861521100106,0.632158445721495,0.632158445721495,0.297619922910992,-1.54094257708083,1.42300353956698,3.10439512495408
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.117131085328469,0.889468589238863,0.889468589238863,0.33137978338585,-0.353464789347409,1.59134419094977,5.49011296495285
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0541035604917246,0.947333995047296,0.947333995047296,0.339205830952003,-0.159500679395397,1.62786775727552,6.30769980776394
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.5828565238895,319688142.501959,319688142.501959,2344.27487124059,0.00835348139594494,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.486138373697286,0.614996702058017,0.614996702058017,3745.49389586526,-0.000129792862360274,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4991700693839,294023445.694604,294023445.694604,2344.27485609334,0.00831778322354173,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6900497471632,355860638.456189,355860638.456189,2344.27492521742,0.00839920673780915,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8936106331489,436199660.382262,436199660.382262,2344.27491236748,0.00848603998114638,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2755043540827,235095965.853189,235095965.853189,2344.27483550311,0.00822237395639917,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4240158339865,100334065.763465,100334065.763465,2344.27483057946,0.00785915354021542,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5799857285129,117269554.618257,117269554.618257,2344.2748553166,0.00792568571316421,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1301061091744,552578525.674376,552578525.674376,2344.27484036987,0.00858692238747841,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.39873870047333,1.48994424601193,1.48994424601193,33969.5401109611,1.1738124777988e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.419009390002672,1.52045463179622,1.52045463179622,33969.5401089168,1.23348561287318e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.696023794648497,2.005761511026,2.005761511026,33969.5401098705,2.04896443224515e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.143535183334973,1.15434742388474,1.15434742388474,33969.540109324,4.22540849458173e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0577740095017,1397253008.82403,1397253008.82403,33888.5539018507,0.000621383080272175,1,Inf
