"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.171585513225994,1.18718565846727,1.18718565846727,1.09574633048628,0.156592368554724,1.14868450187266,26046.1977800516
"CountryUSA","CountryUSA",0.430646918066717,1.53825232495627,1.53825232495627,0.584284557279701,0.737049974539312,1.63137333720184,125.803591087769
"SexMale","SexMale",0.716209386579477,2.04666038973083,2.04666038973083,0.325069034671035,2.20325318683236,2.95145173888345,47.9569498069492
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.23350417937039,0.29127012453589,0.29127012453589,0.60404296915558,-2.04208018693564,1.09324738804915,2.58987175915149
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.373161990209393,0.68855368485377,0.68855368485377,0.423341708198817,-0.881467578040155,1.35029497380505,4.8484248685739
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.50864534665747,0.601309593384577,0.601309593384577,0.294562208616121,-1.72678412837522,1.40154041695355,2.91858760557663
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.176440719058685,0.838248469840662,0.838248469840662,0.32584416087896,-0.541488049326213,1.55675317033855,4.89182830077005
"feeding_first_yearFormula","feeding_first_yearFormula",-0.084741069263902,0.918750146256916,0.918750146256916,0.341148942766907,-0.248399038193127,1.60123036930444,6.00753803921159
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.674577091233,350396907.455605,350396907.455605,2325.45486520165,0.00846052846935259,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.434903889902283,0.647326878737973,0.647326878737973,3727.26645576152,-0.000116681727765939,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5461237403907,308158167.629603,308158167.629603,2325.45485277868,0.00840529056800873,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7503043291872,377962041.48407,377962041.48407,2325.45492139948,0.00849309274819282,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9944647041727,482487081.442627,482487081.442627,2325.45490806539,0.00859808746874677,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3303162113073,248341708.176381,248341708.176381,2325.45483276419,0.00831248835236674,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4693208102749,104984240.908808,104984240.908808,2325.45482756632,0.00794224019806213,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6513548478993,125944872.319218,125944872.319218,2325.45485117799,0.00802051901306588,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1617157341719,570324316.995562,570324316.995562,2325.45483743023,0.00867000958679201,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.36593794827973,1.44186576962716,1.44186576962716,33761.3011759713,1.0838976447394e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.39006760030563,1.47708064161055,1.47708064161055,33761.3011739861,1.15536897791779e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.604322115081533,1.8300112512922,1.8300112512922,33761.301174913,1.78998466898719e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0999905971027002,1.10516052631586,1.10516052631586,33761.3011743792,2.96169263697044e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0305459472898,1359721786.87047,1359721786.87047,33681.1268394602,0.000624401494864797,1,Inf
