"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-20.3193238374923,1.49771707603086e-09,1.49771707603086e-09,18406.5972884864,-0.00110391527119477,1,Inf
"CountryUSA","CountryUSA",0.489013243489113,1.63070631571988,1.63070631571988,0.561601285300789,0.870748084608106,1.72017360415596,134.616854250846
"SexMale","SexMale",0.846703515753362,2.33194694122587,2.33194694122587,0.333110363681692,2.5418107872574,3.36651065586648,88.2207538421416
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.33948474653424,0.261980620232725,0.261980620232725,0.587810229520424,-2.27877073120534,1.08630254084514,2.29128728723892
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.35753724281385,0.699396650958403,0.699396650958403,0.419523540654478,-0.852245960396105,1.35980839615735,4.9113978696157
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.459499720238998,0.631599542950185,0.631599542950185,0.292841987864923,-1.56910463417203,1.42728500206575,3.0687423574885
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.185163820867263,0.830968142779238,0.830968142779238,0.328187603015793,-0.564201143387956,1.54766547958574,4.85992462917383
"feeding_first_yearFormula","feeding_first_yearFormula",0.00449285254544683,1.00450296053968,1.00450296053968,0.338089851275715,0.013288930526882,1.67834440700504,7.01920469981477
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7677610806963,384617957.230667,384617957.230667,2324.28799196382,0.00850486736112003,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.445712552906558,0.640367817476588,0.640367817476588,3737.46800331579,-0.000119255215699809,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.7227965293506,367706833.061682,367706833.061682,2324.28798162662,0.00848552188251128,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.8275395938013,408310957.902968,408310957.902968,2324.28805031401,0.00853058621160256,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0036192165178,486924294.659245,486924294.659245,2324.28803721328,0.00860634262890294,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.454453292934,281165295.041121,281165295.041121,2324.2879585484,0.0083700701633734,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5100849995713,109352262.965266,109352262.965266,2324.28795340092,0.00796376583739858,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7252851611988,135608845.168422,135608845.168422,2324.28797886873,0.00805635331397822,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2660823361057,633064161.597793,633064161.597793,2324.28796642348,0.00871926483674498,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.524403606864432,1.68945097090144,1.68945097090144,34081.141468926,1.53869144125518e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.531936999907163,1.70222632957184,1.70222632957184,34081.1414668818,1.56079572752594e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.820789356119352,2.27229277801432,2.27229277801432,34081.1414678101,2.408338807826e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.260312050658306,1.29733485770434,1.29733485770434,34081.1414673691,7.63800857161846e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.4129950570216,1993175748.18561,1993175748.18561,34001.7965369101,0.000629760696137836,1,Inf
