"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.171585513225998,1.18718565846727,1.18718565846727,1.09574633344623,0.156592368131724,1.14868450094892,26046.199316423
"CountryUSA","CountryUSA",0.430646918066732,1.53825232495629,1.53825232495629,0.584284557093617,0.737049974774075,1.63137333749305,125.803590865949
"SexMale","SexMale",0.716209386579481,2.04666038973084,2.04666038973084,0.325069034606882,2.20325318726719,2.95145173928511,47.956949783612
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.2335041793704,0.291270124535886,0.291270124535886,0.604042968808586,-2.04208018810875,1.09324738811543,2.58987175747533
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.373161990209391,0.688553684853772,0.688553684853772,0.423341708196375,-0.881467578045235,1.35029497380699,4.84842486853727
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.508645346657471,0.601309593384576,0.601309593384576,0.294562208665495,-1.72678412808579,1.40154041690776,2.91858760587914
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.176440719058691,0.838248469840657,0.838248469840657,0.325844160877912,-0.541488049327975,1.55675317033996,4.89182830075404
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0847410692639037,0.918750146256915,0.918750146256915,0.341148942795332,-0.248399038172436,1.60123036926244,6.00753803981167
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6750296070931,350555503.494472,350555503.494472,2325.98131116104,0.00845880812226822,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.422891879607774,0.655149464299636,0.655149464299636,3725.8755130551,-0.000113501344348731,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5465762562509,308297645.643506,308297645.643506,2325.98129874086,0.00840358272305633,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7507568450473,378133114.005961,378133114.005961,2325.98136734614,0.00849136503083092,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9949172200328,482705463.906319,482705463.906319,2325.98135401513,0.00859633598761118,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3307687271674,248454112.168436,248454112.168436,2325.98127873093,0.00831080151157294,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.469773326135,105031758.693346,105031758.693346,2325.98127353424,0.0079406371565799,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6518073637595,126001877.268292,126001877.268292,2325.98129714056,0.00801889825455131,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.162168250032,570582456.196052,570582456.196052,2325.98128339591,0.00866824182720658,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.365465130308186,1.4411841907228,1.4411841907228,33769.5074444506,1.0822341158199e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.389594782334092,1.4763824164175,1.4763824164175,33769.507442466,1.15368808087549e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.603849297109993,1.82914619360799,1.82914619360799,33769.5074433931,1.78814955510444e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0995177791311563,1.10463811007121,1.10463811007121,33769.5074428584,2.94697159262838e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0305256451784,1359694181.92748,1359694181.92748,33689.2978171373,0.000624249450354541,1,Inf
