"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.12280949395231,3.07347699981738,3.07347699981738,10518.8969012006,0.00010674213318168,1,Inf
"CountryUSA","CountryUSA",0.405665088460849,1.50030000052513,1.50030000052513,0.558793929158718,0.725965453976193,1.65169392705815,88.7336749325197
"SexMale","SexMale",0.720725023219497,2.05592326252034,2.05592326252034,0.323607527728463,2.22715778053301,2.97520877575682,48.264649804845
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.2100349097318,0.298186869624543,0.298186869624543,0.581434485594807,-2.08111995368478,1.10010417388097,2.5395316847131
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.374119959569465,0.687894387364733,0.687894387364733,0.42300398807331,-0.884436010339995,1.35017494128262,4.83605211636652
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.512276219035339,0.599130273801254,0.599130273801254,0.293543648001564,-1.74514496403823,1.40076793148406,2.90109839133727
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177244250103116,0.837575181712382,0.837575181712382,0.325977910161463,-0.543730862055417,1.55601946035384,4.88762677590555
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0820209913028227,0.921252620200652,0.921252620200652,0.340289679884752,-0.24103284980785,1.60456110367986,6.01871308671504
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7116391148315,363626978.144235,363626978.144235,2399.65769077525,0.00821435456840651,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.366911694272595,0.692870826805361,0.692870826805361,3772.30490941348,-9.726459103478e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.578862771844,318413933.460043,318413933.460043,2399.65767775918,0.00815902324456832,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7871400600415,392144150.114085,392144150.114085,2399.65774517082,0.00824581759622267,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0285159987314,499199312.957434,499199312.957434,2399.65773208825,0.00834640529393414,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.35939273628,255668626.516811,255668626.516811,2399.65765725357,0.00806756442018356,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4994097470779,108191108.781608,108191108.781608,2399.65765256625,0.00770918706978647,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6876777835841,130603657.997575,130603657.997575,2399.65767653702,0.00778764319857181,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1963225697819,590406930.469565,590406930.469565,2399.65766338056,0.00841633491225991,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.337916778089181,1.40202381944879,1.40202381944879,33777.9536927453,1.00040630395487e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.364878847185909,1.4403394963949,1.4403394963949,33777.953690708,1.08022780339794e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.580178822155911,1.7863578425509,1.7863578425509,33777.9536915985,1.71762572550455e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0731044910983826,1.0758429470529,1.0758429470529,33777.9536911124,2.1642664255774e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0113812848901,1333911292.55012,1333911292.55012,33692.6140125855,0.000623619802163213,1,Inf
