"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.6426527688818,0.193466140004378,0.193466140004378,0.8294910403254,-1.98031405889255,1.03880012555349,2.67316046734337
"CountryUSA","CountryUSA",0.394115798303428,1.48307227598512,1.48307227598512,0.559236458609251,0.704739099599377,1.64149797299577,84.6037933082208
"SexMale","SexMale",0.738110724858738,2.09197945384938,2.09197945384938,0.324424261014065,2.27514034416414,3.02727023855962,51.9877144849894
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.19752431028858,0.301940799101561,0.301940799101561,0.582000527813422,-2.05760004168327,1.10130829381078,2.57219625743351
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.359452254409093,0.698058579881879,0.698058579881879,0.423978188906127,-0.847808363294554,1.35538993691858,4.96515054882273
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.49226265835325,0.611241796982124,0.611241796982124,0.295025463373496,-1.66854295464679,1.40893822746366,2.97362234283564
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.172696822408544,0.841392667581958,0.841392667581958,0.325955997091298,-0.529816367698776,1.55918795663296,4.92276454906728
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0712802146399054,0.931200919434796,0.931200919434796,0.341623846633484,-0.208651168067841,1.6107634046538,6.16572692826564
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.5927482867478,322866113.752334,322866113.752334,2308.2046381606,0.00848830643645235,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.561085771705058,0.570589197787027,0.570589197787027,3721.86631582932,-0.000150753875634578,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",20.0257728412602,497831807.131943,497831807.131943,2308.20463256079,0.00867590878155505,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6574699853077,344453611.681972,344453611.681972,2308.20469448265,0.00851634607290045,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8801613068347,430372343.394441,430372343.394441,2308.20467936206,0.00861282428052661,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2048681224646,219062606.742921,219062606.742921,2308.20460342032,0.00832026246460414,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.3657077748156,94651073.2609825,94651073.2609825,2308.20459883546,0.00795670703718443,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.5671650498558,115775676.072951,115775676.072951,2308.20462362435,0.00804398572805109,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0659953736286,518264026.288369,518264026.288369,2308.20460956385,0.00869333476351569,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.488472488756143,1.62982474194065,1.62982474194065,33784.6217215311,1.44584270554327e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.518131629424264,1.67888793272137,1.67888793272137,33784.6217195105,1.53363158458881e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.726081406165398,2.06696512063203,2.06696512063203,33784.6217204102,2.14914765710327e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.220510394685269,1.24671288385892,1.24671288385892,33784.6217199037,6.52694579544036e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0467091770121,1381877856.94119,1381877856.94119,33705.6714463382,0.000624426343516696,1,Inf
