"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.357692202194216,1.4300253940545,1.4300253940545,1.02787917906615,0.347990512386082,1.21012863173623,45342.8220750366
"CountryUSA","CountryUSA",0.403816083880119,1.49752850199803,1.49752850199803,0.558899872900247,0.722519548599347,1.64999195843503,88.083300453208
"SexMale","SexMale",0.725108832899043,2.06495582286624,2.06495582286624,0.324032625338607,2.23776489216578,2.98676959566069,49.2533279393791
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20668131027131,0.299188547624248,0.299188547624248,0.581597757694135,-2.07476953669053,1.10042309510125,2.54825729385711
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.369539420090727,0.691052542268008,0.691052542268008,0.42341850273428,-0.872752177111718,1.35170616227552,4.87744505613428
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.505530183337563,0.603185691632844,0.603185691632844,0.294528684751665,-1.71640390057018,1.40304855876136,2.92815069423706
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.1758041621821,0.83878223253556,0.83878223253556,0.325940562543531,-0.539374911824976,1.55706168547913,4.89824607524122
"feeding_first_yearFormula","feeding_first_yearFormula",-0.078764500936281,0.924257560607683,0.924257560607683,0.340743259796002,-0.231154978629471,1.60636049515431,6.06375677903156
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6743174511442,350305942.181062,350305942.181062,2327.20921792312,0.00845403898352647,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.407665897093401,0.665201087316828,0.665201087316828,3726.29633995885,-0.000109402436065486,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5332203707644,304207432.60178,304207432.60178,2327.20920483977,0.00839340972446407,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7447098682985,375853451.337662,375853451.337662,2327.20927402119,0.00848428634618731,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9803536369898,475726485.614184,475726485.614184,2327.2092602019,0.00858554233977927,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.310805181221,243543269.102668,243543269.102668,2327.20918382462,0.00829783816402998,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4577221343362,103773597.223952,103773597.223952,2327.20917884936,0.00793126905053815,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6497470949594,125742546.768802,125742546.768802,2327.20920352621,0.00801378194392713,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1543060323829,566114001.73733,566114001.73733,2327.20918965428,0.00866028981063665,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.386449511779181,1.47174608934902,1.47174608934902,33780.7351171878,1.14399378947368e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.413933312080065,1.51275624095342,1.51275624095342,33780.7351151424,1.22535318035313e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.626569254243052,1.87118001186456,1.87118001186456,33780.7351160365,1.85481237187643e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.120283051333351,1.12781603623726,1.12781603623726,33780.7351155625,3.56069963906553e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0230493267566,1349566581.02554,1349566581.02554,33700.4786705379,0.000623820496209618,1,Inf
