"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.0445991407709748,0.767159460715054,0.0581354243215678,0.953640757569302
"2","CountryUSA",0.401966040600836,0.562401990269945,0.714730828758088,0.474775384318192
"3","SexMale",0.720700618832358,0.323568839555204,2.22734865267951,0.0259239812734972
"4","Delivery.ModeVaginal",-1.20820074630275,0.58231885421346,-2.07480959539714,0.0380041849339631
"5","HLA.CategoryLow/No Risk",-0.370882898940285,0.426628196220447,-0.869335178091799,0.384663827039354
"6","HLA.CategoryStandard Risk",-0.513598498400778,0.29444824290291,-1.74427428514196,0.0811112733889916
"7","feeding_first_yearBreastmilk_and_formula",-0.177169145609797,0.326072465537045,-0.5433428588274,0.58689376041715
"8","feeding_first_yearFormula",-0.0810592168757439,0.340721420780821,-0.237904669128178,0.811955034035173
"9","Age.at.Gluten.Introduction..months.11",19.6696910147038,2327.29387580915,0.00845174355467469,0.993256564588767
"10","Age.at.Gluten.Introduction..months.15",-0.41112819985943,3727.16645049232,-0.000110305832948546,0.999911988679102
"11","Age.at.Gluten.Introduction..months.36",19.5336043248204,2327.29386275059,0.00839326938358096,0.993303218572268
"12","Age.at.Gluten.Introduction..months.4",19.7491655862007,2327.29393365665,0.00848589226336819,0.993229318838393
"13","Age.at.Gluten.Introduction..months.5",19.9919687509891,2327.29392078228,0.00859022084510454,0.993146079707868
"14","Age.at.Gluten.Introduction..months.6",19.314378496988,2327.29384155909,0.00829907171672357,0.993378374818606
"15","Age.at.Gluten.Introduction..months.7",18.4566272461985,2327.29383657478,0.00793051008692665,0.993672434769002
"16","Age.at.Gluten.Introduction..months.8",18.6448580918005,2327.29386118469,0.00801138971006843,0.993607904216472
"17","Age.at.Gluten.Introduction..months.9",20.1549397022114,2327.29384767977,0.00866024706003721,0.993090208950415
"18","Age.at.Solid.Introduction..months.4",0.37577591597085,33758.8651810498,1.11311773649841e-05,0.999991118605437
"19","Age.at.Solid.Introduction..months.5",0.407092459403165,33758.8651789136,1.20588312801889e-05,0.999990378444701
"20","Age.at.Solid.Introduction..months.6",0.62335055408848,33758.8651798103,1.84647958623111e-05,0.999985267224464
"21","Age.at.Solid.Introduction..months.7",0.115635908722557,33758.8651793333,3.42534940402404e-06,0.999997266966595
"22","Age.at.Solid.Introduction..months.8",21.0082035715714,33678.5478528184,0.000623785908566522,0.999502290886586
