"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.0445991407709748,1.04560863401815,1.04560863401815,0.767159460715054,0.0581354243215678,1.26170916913318,110.279299162584
"CountryUSA","CountryUSA",0.401966040600836,1.49476057064325,1.49476057064325,0.562401990269945,0.714730828758088,1.64283864235048,90.0885768062818
"SexMale","SexMale",0.720700618832358,2.05587308958534,2.05587308958534,0.323568839555204,2.22734865267951,2.97537559655745,48.2459002595471
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20820074630275,0.298734294956122,0.298734294956122,0.58231885421346,-2.07480959539714,1.10011475740145,2.54800438244327
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.370882898940285,0.690124751166948,0.690124751166948,0.426628196220447,-0.869335178091799,1.34861161354381,4.91592884822924
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.513598498400778,0.598338579738709,0.598338579738709,0.29444824290291,-1.74427428514196,1.39930971947387,2.90249165240173
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177169145609797,0.837638089734329,0.837638089734329,0.326072465537045,-0.5433428588274,1.55594363851251,4.88964714826357
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0810592168757439,0.922139083632238,0.922139083632238,0.340721420780821,-0.237904669128178,1.60464880201736,6.03829373602504
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6696910147038,348689017.189272,348689017.189272,2327.29387580915,0.00845174355467469,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.41112819985943,0.662901942217222,0.662901942217222,3727.16645049232,-0.000110305832948546,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5336043248204,304324256.705491,304324256.705491,2327.29386275059,0.00839326938358096,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7491655862007,377531884.825597,377531884.825597,2327.29393365665,0.00848589226336819,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9919687509891,481284317.920762,481284317.920762,2327.29392078228,0.00859022084510454,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.314378496988,244415082.811288,244415082.811288,2327.29384155909,0.00829907171672357,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4566272461985,103660038.921503,103660038.921503,2327.29383657478,0.00793051008692665,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6448580918005,125129291.385715,125129291.385715,2327.29386118469,0.00801138971006843,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1549397022114,566472844.781709,566472844.781709,2327.29384767977,0.00866024706003721,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.37577591597085,1.45612080379314,1.45612080379314,33758.8651810498,1.11311773649841e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.407092459403165,1.50244301422453,1.50244301422453,33758.8651789136,1.20588312801889e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.62335055408848,1.86516692682133,1.86516692682133,33758.8651798103,1.84647958623111e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.115635908722557,1.12258707355612,1.12258707355612,33758.8651793333,3.42534940402404e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0082035715714,1329679232.56786,1329679232.56786,33678.5478528184,0.000623785908566522,1,Inf
