"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-18.1915608054091,1.25749285182633e-08,1.25749285182633e-08,6289.3855639738,-0.00289242257774942,1,Inf
"CountryUSA","CountryUSA",0.438449523576646,1.55030164794879,1.55030164794879,0.559933600760392,0.783038422736607,1.6776069737925,104.115509969771
"SexMale","SexMale",0.732325554028337,2.07991193531976,2.07991193531976,0.324424206041797,2.25730861134939,3.00798948653592,50.8162275647992
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.27800224596958,0.278593305786809,0.278593305786809,0.586743805464452,-2.17812652484324,1.09222092927817,2.41053453858882
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.394787793264999,0.673823013859983,0.673823013859983,0.422970859698652,-0.933368775206567,1.34193387101509,4.68215389861041
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.559039849334905,0.571757773991428,0.571757773991428,0.292938886578528,-1.90838388124017,1.37989109283868,2.75998307773364
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.22415601890506,0.799190435825221,0.799190435825221,0.325939803762508,-0.687722138620384,1.52485645891719,4.54431738605785
"feeding_first_yearFormula","feeding_first_yearFormula",-0.145176959579262,0.864869232672855,0.864869232672855,0.341088255759794,-0.425628725491801,1.55770903007704,5.40682109253977
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6705332356037,348982814.070658,348982814.070658,2305.29157466157,0.00853277453134812,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.454894001598021,0.634515221983316,0.634515221983316,3720.63736351826,-0.000122262386025138,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5521726793874,310027846.673237,310027846.673237,2305.29156124804,0.00848143159332182,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7391694113338,373776809.549882,373776809.549882,2305.29163150194,0.00856254763674882,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0057872833993,487981124.321017,487981124.321017,2305.29161757227,0.00867820241521878,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2920900862835,239027719.96406,239027719.96406,2305.29153917719,0.00836861184731944,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4514333254657,103123032.687315,103123032.687315,2305.29153401334,0.00800394789692525,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7933204781397,145156129.771082,145156129.771082,2305.29156017209,0.00815225319123488,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1701131033062,575133705.656092,575133705.656092,2305.29154595285,0.00874948469694282,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.379171326486061,1.46107333486173,1.46107333486173,33825.352004243,1.1209678658732e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.398495321997721,1.48958166977601,1.48958166977601,33825.3520021468,1.17809660036185e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.606705828442945,1.83437867684075,1.83437867684075,33825.3520030695,1.79364232007959e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0723743407829581,1.07505770669239,1.07505770669239,33825.3520026079,2.13964782324743e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9813972601799,1294508935.99546,1294508935.99546,33746.6938472848,0.000621731934841611,1,Inf
