"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",2.84769168252356,17.2479221736978,17.2479221736978,1.02341178683853,2.78254727876499,10.1821517068755,4.71834906253814e+55
"CountryUSA","CountryUSA",0.391218182239427,1.47878112199495,1.47878112199495,0.188916247318,2.0708551423896,2.77644162008287,8.51184463669247
"SexMale","SexMale",0.717302824324293,2.04889950939767,2.04889950939767,0.21346827687799,3.36023148176847,3.85122735102384,22.4958355472094
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.22486993268962,0.293795911082449,0.293795911082449,0.201801940410003,-6.06966380105681,1.21874379226849,1.54702668155423
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.377605349364331,0.685500980687583,0.685500980687583,0.234583741436579,-1.6096825255318,1.54163361088643,2.96133658948832
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.531489855783955,0.58772868608999,0.58772868608999,0.17186819848671,-3.09242699035478,1.52142188399778,2.27763030055742
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.135236116884051,0.873509636962852,0.873509636962852,0.16837636741356,-0.80317754184522,1.87382072475558,3.37042274021176
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0732459568605795,0.92937221643974,0.92937221643974,0.268193184076096,-0.273108942395035,1.7322453235701,4.81668248693777
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",18.633990051807,123776744.323264,123776744.323264,0.328533197292446,56.7187432057888,Inf,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.44733173242647,0.639331786008137,0.639331786008137,1766.09681021352,-0.000253288341748598,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",18.5115386358663,109511336.973524,109511336.973524,0.357825461602125,51.7334304635084,Inf,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",18.6884688563564,130707015.871788,130707015.871788,0.456587667585339,40.9307350660395,Inf,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",18.9641637060653,172199406.96272,172199406.96272,0.315370161937049,60.1330309423844,Inf,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",18.3183182250961,90270224.5759466,90270224.5759466,0.199990446072209,91.595966631736,Inf,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",17.453784928424,38026161.0089778,38026161.0089778,0.217827366434389,80.1266857058623,Inf,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",17.6524573998024,46383641.4372419,46383641.4372419,0.302297138481294,58.3943913213546,Inf,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",19.1135455427391,199943531.61855,199943531.61855,0.207083325467542,92.298814979842,Inf,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.33562117018586,1.39880901386656,1.39880901386656,0.209729702114964,1.60025579019746,2.52776113728854,8.24816967426252
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.341402653447474,1.40691962786416,1.40691962786416,0.193379648709646,1.76545285776209,2.61976375710146,7.80914781496303
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.569370039812173,1.76715346438447,1.76715346438447,0.172053600762341,3.3092596568127,3.53004422058073,11.8919618779453
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0224337063728489,1.02268723427092,1.02268723427092,0.274811880962887,0.0816329566765656,1.81628167342664,5.76912603461748
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",19.951091268952,462007308.854383,462007308.854383,0.458052065092116,43.5563831918098,Inf,Inf
