"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.310362798150865,0.733180911288037,0.733180911288037,0.777684011302999,-0.399085995905787,1.17313316245614,28.9765619920275
"CountryUSA","CountryUSA",0.431783109371216,1.54000106713671,1.54000106713671,0.562357083262884,0.767809497243179,1.66778347635339,103.193564462035
"SexMale","SexMale",0.742008600830539,2.10014964314387,2.10014964314387,0.328499107961121,2.25878421842886,3.01361898882795,54.5023067822996
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.24509929387132,0.287912318782686,0.287912318782686,0.587807346434495,-2.11820982065606,1.09524062875565,2.48724840128646
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.371040033943226,0.690016316931774,0.690016316931774,0.422281723053284,-0.87865520501442,1.35200263018972,4.84876490527566
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.503439250161279,0.604448232090819,0.604448232090819,0.293619296983879,-1.71459864979147,1.40489369487074,2.92912172875134
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177261665583331,0.837560595065393,0.837560595065393,0.325939379912665,-0.543848569727377,1.55605943442112,4.8869061426979
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0432013196631829,0.957718563079207,0.957718563079207,0.350358379880364,-0.12330608355346,1.6192473788705,6.70670840858734
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.701345393511,359903102.517536,359903102.517536,2322.18832665115,0.00848395677792525,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.404161620659023,0.667536224905432,0.667536224905432,3723.79601936578,-0.000108534844163634,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5869479227083,320998793.560352,320998793.560352,2322.18831553428,0.00843469403048898,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7781601242368,388638484.702863,388638484.702863,2322.18838378216,0.00851703516491805,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0129174839321,491472961.549808,491472961.549808,2322.18836961543,0.00861812837657366,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3614274239431,256189361.904319,256189361.904319,2322.18829378834,0.00833757860020795,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4862182868098,106773282.230222,106773282.230222,2322.18828756771,0.00796068879762224,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6860754975788,130394561.145329,130394561.145329,2322.18831360386,0.0080467528787876,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1925952008764,588210362.28848,588210362.28848,2322.1882996577,0.00869550294601559,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.404009611076044,1.49781834253495,1.49781834253495,33775.3636766222,1.19616657556727e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.429516473419976,1.53651439835018,1.53651439835018,33775.3636745602,1.27168571020744e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.65637907029889,1.92779925573663,1.92779925573663,33775.3636755039,1.94336640340882e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.140515612236247,1.15086704703282,1.15086704703282,33775.3636750144,4.16029901523147e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.1125689089968,1475951803.2941,1475951803.2941,33695.4437101499,0.000626570437552574,1,Inf
