"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.699161020301902,2.01206391836087,2.01206391836087,0.477570002269989,1.46399693653003,2.20141988854681,169.082479531231
"CountryUSA","CountryUSA",0.37830872003701,1.45981354700922,1.45981354700922,0.559415585236409,0.676257026119743,1.62850992660375,79.0367617816999
"SexMale","SexMale",0.736436566381808,2.0884800787847,2.0884800787847,0.324108663330708,2.27219031670985,3.02373455042303,51.519442416497
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18076913737086,0.307042489905499,0.307042489905499,0.582103524945436,-2.02845213397658,1.10308356567021,2.61409262034186
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.360489454391352,0.697334928885485,0.697334928885485,0.423584954321693,-0.851044048456869,1.35528012608003,4.95079979114866
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.499896140438659,0.606593656992269,0.606593656992269,0.293559372101586,-1.70287917180062,1.40664631106785,2.93994391536095
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.151207930440937,0.859668928734583,0.859668928734583,0.327123994983459,-0.462234298797258,1.57267085595791,5.11523683285418
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0509857163633444,0.950292244064618,0.950292244064618,0.342881501521169,-0.148697774995589,1.62463624710068,6.42939434280831
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6809005226431,352619638.503405,352619638.503405,2338.58270935593,0.00841573849148293,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.398483833397303,0.671337133744929,0.671337133744929,3743.28663826663,-0.000106452930781124,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5229335594092,301094148.466594,301094148.466594,2338.58269680879,0.0083481903744734,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7358836586352,372550686.860333,372550686.860333,2338.58276611965,0.00843924959362564,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9620120315374,467080431.752904,467080431.752904,2338.58275281304,0.00853594426262039,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.289001854843,238290685.696079,238290685.696079,2338.58267606886,0.00824815904617392,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4669242415062,104732940.205829,104732940.205829,2338.58267100141,0.00789663092543074,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6236527136262,122503812.954795,122503812.954795,2338.58269576584,0.00796364941352966,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1452476968059,561009106.965831,561009106.965831,2338.58268171956,0.00861429781990562,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.436549635361366,1.54735904431184,1.54735904431184,34335.2524704303,1.27143272278928e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.448667234625815,1.56622338556273,1.56622338556273,34335.2524683712,1.30672472858359e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.658572627960975,1.93203263594934,1.93203263594934,34335.2524692761,1.91806548837898e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.162761878982825,1.17675644588196,1.17675644588196,34335.252468794,4.74037227862975e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.067572071349,1411010669.36182,1411010669.36182,34255.5304553654,0.00061501228535345,1,Inf
