"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.89298383819457,6.63914930254848,6.63914930254848,1.02343839463193,1.84963144642953,2.4429917252098,2.69977900345729e+21
"CountryUSA","CountryUSA",0.422193173053792,1.52530314369236,1.52530314369236,0.189446219745013,2.22856478013679,2.86395148573024,9.12596735583983
"SexMale","SexMale",0.726103569390767,2.06701093175348,2.06701093175348,0.213499249189161,3.40096544670954,3.89708384225198,23.12794030618
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.1950432013941,0.302690877231796,0.302690877231796,0.202299984205728,-5.90728272217169,1.22582123714802,1.56828761077307
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.360687176082892,0.697197064273637,0.697197064273637,0.234535112141078,-1.53788135512064,1.55312620171448,3.01638407670888
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.503524386157518,0.604396773978905,0.604396773978905,0.171795169386379,-2.93095776764861,1.53973193996392,2.33114293358753
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177751986359553,0.837150022368675,0.837150022368675,0.168271721540333,-1.0563390255501,1.82570000862517,3.20343514511116
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0647050082156377,0.937343931356379,0.937343931356379,0.268199307271064,-0.241257178752671,1.74041648360416,4.88216634117775
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",18.6663025785448,127841602.939893,127841602.939893,0.328525148113879,56.8184891954585,Inf,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.414731748114882,0.660517441990964,0.660517441990964,1764.55939721912,-0.000235034167038233,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",18.5441105591005,113137059.66778,113137059.66778,0.357736163068685,51.837394352385,Inf,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",18.7617302468846,140642286.119453,140642286.119453,0.456585598230764,41.0913754607788,Inf,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",18.9698051847127,173173611.633835,173173611.633835,0.315365366356953,60.1518340579012,Inf,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",18.3148103953866,89954126.7331275,89954126.7331275,0.199997699911823,91.5751051310159,Inf,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",17.4681291960425,38575549.3053146,38575549.3053146,0.217835818371803,80.1894258097989,Inf,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",17.6344469434744,45555728.8104049,45555728.8104049,0.302289758613073,58.3362368092869,Inf,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",19.1253086450879,202309375.396004,202309375.396004,0.207043594019653,92.3733416416277,Inf,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.318279980542455,1.37476111371181,1.37476111371181,0.209725305340005,1.51760408705312,2.48780151421403,7.95419225456666
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.317505232667089,1.37369643294266,1.37369643294266,0.193365317333197,1.6419968019393,2.56092406414308,7.43876942674211
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.558494379670213,1.74803863548662,1.74803863548662,0.17204772304437,3.24615966888549,3.48226001388312,11.577386290672
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0606395183499582,1.06251582768476,1.06251582768476,0.274077021400547,0.221249917414044,1.86065227934695,6.16046348478996
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",19.9618613692832,467010065.663043,467010065.663043,0.458054045630274,43.5797075906535,Inf,Inf
