"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.08890466497604,1.05923750992744,1.02800802914412,0.303946050839989
"2","CountryUSA",0.392676503651608,0.558883070823481,0.702609408213104,0.482299197728954
"3","SexMale",0.718241318204765,0.323557103736056,2.21982861730236,0.0264304035469829
"4","Delivery.ModeVaginal",-1.18686505590394,0.580947560087199,-2.04298139358016,0.0410542800415408
"5","HLA.CategoryLow/No Risk",-0.367337956552455,0.42328456400667,-0.867827432863031,0.385488809783424
"6","HLA.CategoryStandard Risk",-0.496264404337719,0.294976325636319,-1.68238723316925,0.0924937753954602
"7","feeding_first_yearBreastmilk_and_formula",-0.160446198278283,0.327090101660727,-0.490525997159967,0.623761738209998
"8","feeding_first_yearFormula",-0.0588450437747721,0.3419136659781,-0.17210497745516,0.863354999710724
"9","Age.at.Gluten.Introduction..months.11",19.6637884579388,2331.31448507681,0.00843463573182017,0.993270214169961
"10","Age.at.Gluten.Introduction..months.15",-0.403939363302226,3730.73997586645,-0.000108273255685264,0.99991361044111
"11","Age.at.Gluten.Introduction..months.36",19.5253672088156,2331.31447219898,0.00837526101332804,0.99331758666784
"12","Age.at.Gluten.Introduction..months.4",19.7409259200327,2331.31454082986,0.00846772306966595,0.993243815236692
"13","Age.at.Gluten.Introduction..months.5",19.9735977359982,2331.31452710192,0.00856752596177038,0.993164186938557
"14","Age.at.Gluten.Introduction..months.6",19.3205201545809,2331.31445117175,0.00828739346803696,0.993387692392504
"15","Age.at.Gluten.Introduction..months.7",18.4528175184656,2331.31444636778,0.00791519889014346,0.993684650953102
"16","Age.at.Gluten.Introduction..months.8",18.5855351368377,2331.31447253458,0.00797212703639753,0.993639230297222
"17","Age.at.Gluten.Introduction..months.9",20.1436241033354,2331.3144569442,0.00864045776550406,0.993105997932247
"18","Age.at.Solid.Introduction..months.4",0.388405035716503,33812.9093076153,1.14868860346491e-05,0.999990834790981
"19","Age.at.Solid.Introduction..months.5",0.418083856767505,33812.9093055971,1.23646224283427e-05,0.999990134458664
"20","Age.at.Solid.Introduction..months.6",0.636315949884596,33812.9093064864,1.88187281998396e-05,0.999984984827316
"21","Age.at.Solid.Introduction..months.7",0.139637659184724,33812.9093060161,4.12971442122786e-06,0.999996704964623
"22","Age.at.Solid.Introduction..months.8",21.0269945089886,33732.4437887198,0.000623346314328404,0.999502641631973
