"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.602900248951172,1.03776405585692,-0.580960812381707,0.561266865070757
"2","CountryUSA",0.393528745809589,0.559285869362307,0.703627192044539,0.481664972728506
"3","SexMale",0.717662082401251,0.322940125065599,2.22227597842006,0.0262646605127834
"4","Delivery.ModeVaginal",-1.22214973643544,0.581829762895317,-2.10052804853734,0.0356824159259966
"5","HLA.CategoryLow/No Risk",-0.384638685364642,0.423230134820755,-0.908816867512383,0.363446801428098
"6","HLA.CategoryStandard Risk",-0.516143756651574,0.293442022118445,-1.75892925261822,0.078589525846676
"7","feeding_first_yearBreastmilk_and_formula",-0.180123844774419,0.32609654739272,-0.552363544522581,0.580699302179028
"8","feeding_first_yearFormula",-0.0986487967660181,0.341688179247495,-0.288710007420432,0.772803303862145
"9","Age.at.Gluten.Introduction..months.11",19.6755503097353,2327.38289832607,0.00845393782169945,0.993254813879532
"10","Age.at.Gluten.Introduction..months.15",-0.400782789247054,3725.95011257192,-0.000107565259098546,0.999914175340652
"11","Age.at.Gluten.Introduction..months.36",19.5301373892429,2327.38288509337,0.00839145871284493,0.993304663227617
"12","Age.at.Gluten.Introduction..months.4",19.7319423225224,2327.38295450693,0.00847816741302151,0.993235482155506
"13","Age.at.Gluten.Introduction..months.5",19.9977795526956,2327.38293989764,0.00859238899189281,0.993144349840862
"14","Age.at.Gluten.Introduction..months.6",19.3197214514301,2327.38286412289,0.00830104996872144,0.993376796456248
"15","Age.at.Gluten.Introduction..months.7",18.4507411726766,2327.38285939325,0.00792767769093507,0.993674694622994
"16","Age.at.Gluten.Introduction..months.8",18.6576956847079,2327.38288403329,0.00801659916497049,0.993603747806309
"17","Age.at.Gluten.Introduction..months.9",20.176621144706,2327.38287027484,0.00866923160877408,0.993083040586789
"18","Age.at.Solid.Introduction..months.4",0.374810466520464,33754.0164716649,1.11041738346932e-05,0.999991140151137
"19","Age.at.Solid.Introduction..months.5",0.427118599297557,33754.0164696527,1.2653860013417e-05,0.999989903680461
"20","Age.at.Solid.Introduction..months.6",0.617247710578899,33754.0164705266,1.82866448239684e-05,0.999985409368427
"21","Age.at.Solid.Introduction..months.7",0.105262174883137,33754.016470065,3.11850813299476e-06,0.999997511790508
"22","Age.at.Solid.Introduction..months.8",20.9973192419501,33673.6788370893,0.000623552874740342,0.999502476820641
