"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.687540338517036,0.310279433825534,-2.21587467155052,0.0267000866360947
"2","CountryUSA",0.298991201438876,0.562010840101617,0.532002552450438,0.594724227679357
"3","SexMale",0.723394277171277,0.323315383148756,2.23742610118383,0.0252585041993964
"4","Delivery.ModeVaginal",-1.25052027781875,0.581248744030311,-2.15143738487552,0.0314416930609225
"5","HLA.CategoryLow/No Risk",-0.360852019022727,0.420842189975154,-0.857452098716697,0.391195077039841
"6","HLA.CategoryStandard Risk",-0.641787829744185,0.297337970068115,-2.15844558835578,0.0308932045317608
"7","feeding_first_yearBreastmilk_and_formula",-0.182437645441917,0.329063396606915,-0.554414885773058,0.579294940944963
"8","feeding_first_yearFormula",-0.115503527357107,0.339389570866793,-0.340327273646369,0.733610080264195
"9","Age.at.Gluten.Introduction..months.11",19.6426105729356,2286.30160665511,0.00859143453154152,0.993145111361932
"10","Age.at.Gluten.Introduction..months.15",-0.491688228797365,3682.71488015801,-0.000133512434385436,0.999893472490245
"11","Age.at.Gluten.Introduction..months.36",19.4206424227579,2286.30159090678,0.00849434847090991,0.99322257200412
"12","Age.at.Gluten.Introduction..months.4",19.7358443728532,2286.30166195163,0.00863221363186445,0.99311257555389
"13","Age.at.Gluten.Introduction..months.5",20.1036366030123,2286.30164710066,0.00879308145034423,0.99298422647693
"14","Age.at.Gluten.Introduction..months.6",19.4428460168132,2286.30157142293,0.00850406012042958,0.993214823508775
"15","Age.at.Gluten.Introduction..months.7",18.4527019285173,2286.30156592563,0.00807098337486663,0.993560356888661
"16","Age.at.Gluten.Introduction..months.8",18.7391153972676,2286.30159044226,0.00819625699234312,0.993460406309675
"17","Age.at.Gluten.Introduction..months.9",20.35194409059,2286.30157917948,0.0089016883319015,0.992897574114457
"18","Age.at.Solid.Introduction..months.4",0.374946525372223,33987.4266630764,1.10319186294725e-05,0.99999119780245
"19","Age.at.Solid.Introduction..months.5",0.446554410480199,33987.4266611189,1.31388120357771e-05,0.99998951674473
"20","Age.at.Solid.Introduction..months.6",0.649882438309055,33987.4266619878,1.91212604817739e-05,0.999984743441479
"21","Age.at.Solid.Introduction..months.7",0.0646737630370634,33987.4266616193,1.90287319134099e-06,0.999998481726859
"22","Age.at.Solid.Introduction..months.8",20.8973285102915,33910.43814309,0.000616250619414358,0.999508303176306
