"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.891186809650366,2.4380214022995,2.4380214022995,0.360591052452713,2.47146124006289,3.32858214240865,140.162371761899
"CountryUSA","CountryUSA",0.554518433901403,1.74110232700083,1.74110232700083,0.563758463482845,0.983609949685972,1.78015958523654,191.808290258201
"SexMale","SexMale",0.83457768385821,2.30384089361452,2.30384089361452,0.328356936910737,2.54167824718467,3.35506603219438,80.2226835404406
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.1676396797708,0.311100371860462,0.311100371860462,0.581279241252867,-2.00874140499859,1.10469231074186,2.64334426034843
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.327642562522439,0.720620550468824,0.720620550468824,0.419106312917573,-0.781764799106897,1.37290581598065,5.14752290997311
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.444155357645225,0.64136577201085,0.64136577201085,0.291686085615268,-1.52271698771077,1.43633491426926,3.1143766476392
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.198956217060538,0.819585776421819,0.819585776421819,0.330585224133028,-0.601830337645332,1.53533052354676,4.79086808880976
"feeding_first_yearFormula","feeding_first_yearFormula",-0.00914701613178758,0.990894690559472,0.990894690559472,0.339200206177719,-0.0269664226766276,1.66476262728497,6.86501967221759
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7706908220241,385746440.630394,385746440.630394,2390.45342863071,0.00827068646693905,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.440645712934362,0.643620692670899,0.643620692670899,3834.2134541759,-0.00011492466921852,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6552208686787,343679765.896957,343679765.896957,2390.45341700973,0.00822238188321021,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.977150711518,474205206.707817,474205206.707817,2390.45348341368,0.00835705478066434,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8417273936016,414145282.275702,414145282.275702,2390.45346589906,0.00830040311457773,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3215630404271,246177416.792813,246177416.792813,2390.45339447889,0.00808280265369453,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5435331142719,113071748.116475,113071748.116475,2390.45339001678,0.0077573288781597,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6705399917861,128384470.004722,128384470.004722,2390.45341309172,0.00781045967661773,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1875734091657,585263896.826969,585263896.826969,2390.45340091672,0.00844508133955837,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.462077208383376,1.58736785660049,1.58736785660049,36159.7723822252,1.27787642991502e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.409054555365143,1.50539384555629,1.50539384555629,36159.7723804997,1.13124206386249e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.716267970196485,2.04678029401143,2.04678029401143,36159.7723812776,1.98084203253267e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.164003827037646,1.17821882417189,1.17821882417189,36159.7723808845,4.53553261647036e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.3406433125345,1854059344.60574,1854059344.60574,36080.6743562506,0.000591470189881234,1,Inf
