"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.598549649165181,1.81947800437049,1.81947800437049,0.612459420187341,0.977288665071222,1.7294405148557,421.275457219058
"CountryUSA","CountryUSA",0.39608194752288,1.48599108585052,1.48599108585052,0.559293734740395,0.708182343052221,1.64300828284084,85.3886022601048
"SexMale","SexMale",0.753609382586954,2.1246548859749,2.1246548859749,0.327403544444726,2.30177527205782,3.05999246324431,56.6119281742855
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.17465234854373,0.308926359720364,0.308926359720364,0.583534342759941,-2.01299608689349,1.10344270034015,2.63669931323653
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.376499986797123,0.686259126747364,0.686259126747364,0.422289656746789,-0.891568099719946,1.34977794773205,4.80737962605811
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.496792214014572,0.60847940416914,0.60847940416914,0.290525231945964,-1.70997957969782,1.4110167888485,2.9309573921731
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.184496893976009,0.831522522624297,0.831522522624297,0.326773617918912,-0.564601558568266,1.54999530448908,4.84379871346441
"feeding_first_yearFormula","feeding_first_yearFormula",-0.106842371637941,0.898667317283692,0.898667317283692,0.339371207263001,-0.3148245029377,1.58738661138452,5.74150606518227
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6586542392264,344861773.857534,344861773.857534,2331.59107126273,0.00843143314516973,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.414266590683583,0.660824758057243,0.660824758057243,3731.10419985558,-0.000111030560524045,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5095664938913,297096183.317017,297096183.317017,2331.59105955844,0.00836749069435275,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7312962046802,370845541.865876,370845541.865876,2331.5911271443,0.00846258847658542,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9174584229601,446727087.20732,446727087.20732,2331.59111315035,0.00854243195156482,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2593145130568,231320444.551787,231320444.551787,2331.59103739728,0.00826015978108909,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4223496927549,100167034.22727,100167034.22727,2331.59103253709,0.00790119254863873,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6198309508366,122036525.939679,122036525.939679,2331.59105634142,0.0079858905360761,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1334096097041,554406987.6263,554406987.6263,2331.59104300035,0.00863505187590527,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.405211697239624,1.49961993185592,1.49961993185592,33864.6894016549,1.19656109180149e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.428488244446719,1.53493532169327,1.53493532169327,33864.6893996206,1.26529506705447e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.636881967831608,1.89057680025409,1.89057680025409,33864.6894004883,1.88066679218509e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.117346213311552,1.12450868217918,1.12450868217918,33864.689400012,3.46514955225044e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9990420104725,1317552927.7952,1317552927.7952,33784.3212591492,0.000621561754915696,1,Inf
