"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.399833916619814,1.49157695092672,1.49157695092672,0.491806258422417,0.81299070471851,1.76628481332214,49.9417217772992
"CountryUSA","CountryUSA",0.394126206908613,1.48308771277924,1.48308771277924,0.559406031214149,0.704544078749369,1.64123611830194,84.7326111921562
"SexMale","SexMale",0.75162981504091,2.12045314829996,2.12045314829996,0.327354728536847,2.29607135476678,3.05355800640436,56.1402064738102
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.17906361066141,0.307566605892831,0.307566605892831,0.583393034404132,-2.02104506075511,1.1029946610748,2.62476968108757
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.363674845021808,0.695117178812114,0.695117178812114,0.423094097533142,-0.859560195101329,1.35436540485905,4.91813218893112
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.485877247125059,0.615157315007999,0.615157315007999,0.293793864260189,-1.65380324857553,1.41321382995676,2.98654603530678
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177172225354567,0.837635510026775,0.837635510026775,0.326186236928106,-0.543162786459373,1.55578816214756,4.89135422117781
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0877285005724229,0.916009539031463,0.916009539031463,0.339648187951176,-0.258292267365294,1.60119569052842,5.94419993151838
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6774123817935,351391794.229798,351391794.229798,2326.86643893652,0.00845661446334967,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.404012547564929,0.667635744013525,0.667635744013525,3724.94143150055,-0.000108461449661553,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5125832374995,297993799.587383,297993799.587383,2326.86642680604,0.00838577711754745,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7379091714798,373306057.81037,373306057.81037,2326.86649542245,0.00848261351062013,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.931218295545,452916479.980532,452916479.980532,2326.86648177238,0.00856569057643708,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2665266311585,232994785.431791,232994785.431791,2326.86640547616,0.00828003128405467,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.439649710209,101915002.008647,101915002.008647,2326.86640006607,0.00792467058258497,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6414316185515,124701272.931784,124701272.931784,2326.86642430091,0.00801138880335693,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1438903039527,560248113.813651,560248113.813651,2326.86641077635,0.00865708929857806,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.405667046506736,1.50030293818425,1.50030293818425,33763.9787519808,1.20147879930453e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.431534135465156,1.53961769478253,1.53961769478253,33763.9787499217,1.27809029457512e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.635051968384478,1.8871202094991,1.8871202094991,33763.9787507956,1.88085643896312e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.123306576513162,1.13123117670092,1.13123117670092,33763.9787503202,3.65201558219773e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0286601166057,1357159998.11206,1357159998.11206,33683.709833807,0.000624297626964475,1,Inf
