"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.812127570696981,2.25269566109036,2.25269566109036,1.02960426673102,0.788776423077067,1.34909562681068,22917403.3910803
"CountryUSA","CountryUSA",0.401857299836839,1.49459803807392,1.49459803807392,0.558998211486997,0.718888346293371,1.64821709103836,87.3900208143403
"SexMale","SexMale",0.729552337105483,2.07415187897713,2.07415187897713,0.324197468261038,2.25033323368849,3.0002938441521,50.178997938011
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20420100288704,0.299931548242261,0.299931548242261,0.581697711829436,-2.0701491142192,1.10066395458004,2.55465304668453
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.365989427907858,0.693510133024027,0.693510133024027,0.42354328790541,-0.864113393740275,1.35305555970916,4.90691729942259
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.499866009527448,0.606611934487247,0.606611934487247,0.294646484449982,-1.69649405612475,1.40563954109032,2.94681004573386
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.174352486326261,0.840000756687895,0.840000756687895,0.325873046655937,-0.535031933801956,1.55815505459736,4.90853173418439
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0754819769897327,0.927296443056707,0.927296443056707,0.341009533150126,-0.221348583109853,1.60846664088539,6.10555735899024
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6860195233242,354429326.618647,354429326.618647,2334.16652281424,0.00843385393925936,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.404526283755042,0.667292843457766,0.667292843457766,3736.50985096068,-0.000108263138567944,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5383118393527,305760244.882214,305760244.882214,2334.16650980397,0.0083705732891325,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7511688874489,378288952.986289,378288952.986289,2334.16657891209,0.00846176492538698,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9823874803702,476695023.37102,476695023.37102,2334.16656524775,0.00856082328394131,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3131489824657,244114755.583688,244114755.583688,2334.16648890648,0.00827410944088809,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4655072967384,104584644.502407,104584644.502407,2334.16648391051,0.00791096411675078,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6609565744337,127159984.795073,127159984.795073,2334.16650855186,0.00799469811003805,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1620785402178,570531271.645835,570531271.645835,2334.16649470064,0.00863780650865851,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.402946325549219,1.49622658036832,1.49622658036832,34122.0989543173,1.18089548385837e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.430637242073819,1.53823744090971,1.53823744090971,34122.098952284,1.26204792582079e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.641252194261068,1.89885712923101,1.89885712923101,34122.0989531723,1.87928707182139e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.136189508197335,1.14589903027918,1.14589903027918,34122.0989527039,3.99124064396229e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0519265931872,1389106529.92381,1389106529.92381,34042.1753748089,0.000618407206983768,1,Inf
