"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.08291081075968,2.95326344296821,2.95326344296821,0.545518936787704,1.98510214354137,2.75607564712193,5447.85249761091
"CountryUSA","CountryUSA",0.413127241044775,1.51153734328918,1.51153734328918,0.560087615161583,0.737611812618975,1.65579233308057,92.8244997554667
"SexMale","SexMale",0.787668182797265,2.19826449425376,2.19826449425376,0.328991673835105,2.39418880610351,3.16946904852939,65.9617671506581
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.12324341447858,0.325223248348049,0.325223248348049,0.584600638517795,-1.92138588374872,1.10894758903787,2.78099567209172
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.358487513421491,0.698732350560475,0.698732350560475,0.422351489659913,-0.848789508733954,1.35710628543563,4.94751036976958
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.439331226944484,0.644467279345472,0.644467279345472,0.29254195666814,-1.50177168413098,1.43797496836123,3.13754013397234
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.182949924030089,0.832809858454344,0.832809858454344,0.327266338825408,-0.559024569061137,1.55039030916508,4.86306315053807
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0824041851892553,0.920899669457334,0.920899669457334,0.339936294424737,-0.242410670883806,1.60479592618792,6.00710867456582
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6952953400722,357732243.044137,357732243.044137,2360.80262563346,0.00834262683640802,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.400218829355123,0.670173376380638,0.670173376380638,3773.21786691888,-0.00010606830654121,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5159158795367,298988562.92508,298988562.92508,2360.80261476356,0.00826664446976279,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7871469028392,392146833.486326,392146833.486326,2360.80268190899,0.00838153355825525,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8727052871094,427175411.716088,427175411.716088,2360.80266656417,0.0084177748392802,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2580319300792,231023947.069187,231023947.069187,2360.80259165739,0.00815740883974513,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4193734216138,99869353.183506,99869353.183506,2360.80258817901,0.00780216588792438,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6294752821421,123219180.416159,123219180.416159,2360.80261069031,0.00789116175904887,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1518623321628,564732277.773868,564732277.773868,2360.80259812779,0.00853602175300217,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.487714139910839,1.62858923476149,1.62858923476149,35511.7086066033,1.37338967638451e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.521502266674883,1.68455640273839,1.68455640273839,35511.7086046728,1.46853611714493e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.725687355144915,2.06615079137111,2.06615079137111,35511.7086054548,2.04351574070262e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.187806619352753,1.20660015966725,1.20660015966725,35511.7086050471,5.28858302599556e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.1487873629709,1530388348.92639,1530388348.92639,35433.1690054605,0.000596864123547959,1,Inf
