"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-18.1433353305101,33717.2640190841,-0.000538102241043073,0.999570656550458
"2","CountryUSA",0.405454527314906,0.558733757038504,0.725666781731545,0.468043070516926
"3","SexMale",0.718526971876805,0.323417058704686,2.22167307672196,0.0263054073192805
"4","Delivery.ModeVaginal",-1.21569942576617,0.581837189892614,-2.08941512657611,0.036670370738162
"5","HLA.CategoryLow/No Risk",-0.372843121219743,0.422915757633869,-0.881601393397418,0.377992401350347
"6","HLA.CategoryStandard Risk",-0.513246963368777,0.293491089587982,-1.7487650616218,0.0803316384473086
"7","feeding_first_yearBreastmilk_and_formula",-0.17686488986407,0.325231518994406,-0.543812267676036,0.586570666033028
"8","feeding_first_yearFormula",-0.0846999507009185,0.340427178690255,-0.248804901614464,0.803511699377776
"9","Age.at.Gluten.Introduction..months.11",19.6718534367813,2327.1995799876,0.00845301520589227,0.993255549994137
"10","Age.at.Gluten.Introduction..months.15",-0.410802261423443,3726.7567265299,-0.000110230501094702,0.999912048785225
"11","Age.at.Gluten.Introduction..months.36",19.5375344981658,2327.19956700412,0.00839529826972127,0.993301599812374
"12","Age.at.Gluten.Introduction..months.4",19.7413019200176,2327.19963583291,0.00848285708542239,0.993231740472853
"13","Age.at.Gluten.Introduction..months.5",19.9906084473245,2327.19962213537,0.00858998439892393,0.993146268357665
"14","Age.at.Gluten.Introduction..months.6",19.3204004848914,2327.19954589625,0.00830199564062338,0.993376041945237
"15","Age.at.Gluten.Introduction..months.7",18.4576348644456,2327.19954096551,0.00793126439720243,0.993671832935407
"16","Age.at.Gluten.Introduction..months.8",18.6546665455027,2327.19956577531,0.00801592902467212,0.993604282483727
"17","Age.at.Gluten.Introduction..months.9",20.1529677934427,2327.19955168124,0.00865975063414033,0.993090605026121
"18","Age.at.Solid.Introduction..months.4",0.381428854067011,33794.1864391113,1.12868186590096e-05,0.999990994421652
"19","Age.at.Solid.Introduction..months.5",0.407598774901496,33794.1864370769,1.20612098669819e-05,0.999990376546863
"20","Age.at.Solid.Introduction..months.6",0.621812573391383,33794.1864379751,1.83999864749708e-05,0.999985318934873
"21","Age.at.Solid.Introduction..months.7",0.122476226794226,33794.1864374969,3.62418036074779e-06,0.999997108322445
"22","Age.at.Solid.Introduction..months.8",21.0139847280039,33713.9830285251,0.000623301753169425,0.999502677186627
