"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-17.3409374500106,13560.5714746429,-0.00127877630249114,0.998979684409603
"2","CountryUSA",0.357057051368561,0.560574559684047,0.636948368776861,0.524158475234283
"3","SexMale",0.714069787822375,0.323289083382348,2.20876554305998,0.0271909528724669
"4","Delivery.ModeVaginal",-1.15600631211927,0.585354525456797,-1.97488233514066,0.0482815025006763
"5","HLA.CategoryLow/No Risk",-0.361091735562993,0.423974024411939,-0.851683628646436,0.394389709513453
"6","HLA.CategoryStandard Risk",-0.508315750487806,0.293550353011603,-1.73161348733828,0.0833424031986704
"7","feeding_first_yearBreastmilk_and_formula",-0.175865141230443,0.32575060722962,-0.53987663361891,0.589282113163041
"8","feeding_first_yearFormula",-0.0738826455827369,0.340288940287548,-0.21711738712491,0.828116864182556
"9","Age.at.Gluten.Introduction..months.11",19.6451750729877,2331.81552975596,0.00842484099719659,0.993278028959828
"10","Age.at.Gluten.Introduction..months.15",-0.403564608752566,3731.53845618241,-0.000108149658241882,0.999913709057601
"11","Age.at.Gluten.Introduction..months.36",19.5031354394842,2331.81551786481,0.00836392728758522,0.9933266293559
"12","Age.at.Gluten.Introduction..months.4",19.734138320579,2331.81558462878,0.00846299272149374,0.993247589373232
"13","Age.at.Gluten.Introduction..months.5",19.9752121434161,2331.81557060156,0.00856637737360288,0.993165103345693
"14","Age.at.Gluten.Introduction..months.6",19.2907091693192,2331.81549584171,0.00827282827638807,0.993399313335671
"15","Age.at.Gluten.Introduction..months.7",18.4398697572303,2331.81549036377,0.00790794547571756,0.993690438159364
"16","Age.at.Gluten.Introduction..months.8",18.6131519610162,2331.81551581201,0.00798225753058107,0.993631147589498
"17","Age.at.Gluten.Introduction..months.9",20.1303627191868,2331.81550143577,0.00863291401347659,0.993112016751037
"18","Age.at.Solid.Introduction..months.4",0.391279717178923,33772.5667394028,1.15857263736609e-05,0.999990755927801
"19","Age.at.Solid.Introduction..months.5",0.426353049558391,33772.5667373959,1.26242418254309e-05,0.999989927312356
"20","Age.at.Solid.Introduction..months.6",0.647229601665896,33772.5667383031,1.91643592469932e-05,0.99998470905364
"21","Age.at.Solid.Introduction..months.7",0.138126657409321,33772.5667378182,4.08990700889335e-06,0.999996736726342
"22","Age.at.Solid.Introduction..months.8",20.9629522739075,33691.9596357704,0.000622194508735292,0.999503560639694
