"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-1.5378014206466,0.214852953802711,0.214852953802711,1.05546027889027,-1.45699601529625,1.02751948356664,5.47612991828816
"CountryUSA","CountryUSA",0.43819898756367,1.54991329020584,1.54991329020584,0.55985129691603,0.782706032793909,1.67752953837167,103.916543071876
"SexMale","SexMale",0.780192534946926,2.18189231558092,2.18189231558092,0.327778017412092,2.38024667153333,3.15093555491406,63.3070893458129
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.28161429720521,0.277588827697679,0.277588827697679,0.583914000623618,-2.19486824401616,1.09240748859305,2.39127652492372
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.354183636925695,0.701746089027939,0.701746089027939,0.421890689565157,-0.839515177001776,1.35927142444271,4.97453110918586
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.485139348847188,0.615611406047257,0.615611406047257,0.293552933778521,-1.65264690971617,1.4138057950155,2.98741443194608
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.193656123937265,0.823941189210401,0.823941189210401,0.326762142073601,-0.592651653916643,1.54382938866891,4.77445377509367
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0614285664329859,0.940420120903847,0.940420120903847,0.339831830475667,-0.180761661869648,1.62112716478468,6.23746597345067
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7292025420787,370069928.64348,370069928.64348,2342.58417288858,0.00842198234343535,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.422053541240094,0.655698931519669,0.655698931519669,3736.82770191247,-0.000112944340736955,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6393549203035,338269989.571909,338269989.571909,2342.58416126118,0.00838362832169505,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7864283284238,391865148.022834,391865148.022834,2342.58422942132,0.00844641062631572,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0159019142771,492941919.280732,492941919.280732,2342.58421645172,0.00854436812717663,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3848113411232,262250665.036044,262250665.036044,2342.58413954686,0.00827496908814252,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5052989505623,108830148.105767,108830148.105767,2342.58413443982,0.00789952372617238,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6901302380457,130924350.602593,130924350.602593,2342.58415926426,0.00797842423894634,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.218769240778,603809458.92776,603809458.92776,2342.58414610723,0.00863096818715196,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.493825647210602,1.63857284614055,1.63857284614055,35018.2173282854,1.41019642028357e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.507993337238629,1.66195286768685,1.66195286768685,35018.217326298,1.45065447651196e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.772217457648124,2.16456075782276,2.16456075782276,35018.217327188,2.2051878039165e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.22638826401089,1.25406247809377,1.25406247809377,35018.2173267373,6.46487118115053e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.6462471452909,2516782520.94165,2516782520.94165,34939.7570821726,0.000619530556391176,1,Inf
