"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.826326498040716,2.28490968417698,2.28490968417698,0.811988398667126,1.01765801013552,1.59244103635666,74688.6990265225
"CountryUSA","CountryUSA",0.35889003278922,1.43173934853176,1.43173934853176,0.561091040250552,0.639628878459652,1.61078064514243,73.6976517584247
"SexMale","SexMale",0.659128600069358,1.93310709086322,1.93310709086322,0.328923436625208,2.00389673302727,2.75813692323762,39.777091664433
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.14300508205237,0.31885938203415,0.31885938203415,0.585614751258703,-1.95180377474377,1.10648309657088,2.73133411219424
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.37915166378047,0.684441799763285,0.684441799763285,0.425112959021255,-0.891884511479957,1.34648168620428,4.82921388513033
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.538935357520964,0.583369001297255,0.583369001297255,0.296209045017162,-1.81944260847854,1.38603173542316,2.83630490180433
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.184413968685106,0.831591479730483,0.831591479730483,0.324490353052585,-0.568318801931288,1.55310170539963,4.81042245744077
"feeding_first_yearFormula","feeding_first_yearFormula",-0.134857723470389,0.87384022979938,0.87384022979938,0.349399014338549,-0.385970532074024,1.5536053328323,5.65855980974009
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6602234864132,345403372.065587,345403372.065587,2362.51359011774,0.00832173984888417,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.31831367240341,0.727374595290039,0.727374595290039,3689.99080141066,-8.62640829027868e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4714446155122,285983483.041175,285983483.041175,2362.51357919384,0.00824183394626515,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7398225644047,374021022.766514,374021022.766514,2362.51364433567,0.00835543219474421,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0141107089961,492059749.421191,492059749.421191,2362.51362994886,0.00847153237775365,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2753915644968,235069450.971885,235069450.971885,2362.51355780784,0.00815884907868311,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4541139561753,103399838.296663,103399838.296663,2362.51355170555,0.00781122036013419,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6388111992755,124374931.075432,124374931.075432,2362.51357551313,0.00788939855942508,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1312838961271,553229728.866274,553229728.866274,2362.5135617025,0.00852112945401246,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.364344045037726,1.43956940567956,1.43956940567956,35338.4346765009,1.03101353631831e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.407188025611296,1.50258660386739,1.50258660386739,35338.4346745143,1.15225258096946e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.575894643942933,1.77872113738466,1.77872113738466,35338.4346755408,1.62965521600065e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.100219934261233,1.10541400975617,1.10541400975617,35338.4346749326,2.83600377841084e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.8907896717004,1182373471.42987,1182373471.42987,35259.3761958032,0.000592488918569891,1,Inf
