"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.840152649704024,2.31672059650379,2.31672059650379,0.214180442736455,3.92263942949177,4.58376060857114,33.9607364167117
"CountryUSA","CountryUSA",0.612988381540129,1.84593953610842,1.84593953610842,0.56086838594759,1.09292731931125,1.84947411214269,255.067364419921
"SexMale","SexMale",0.592692155020484,1.80885157511997,1.80885157511997,0.322376874919397,1.83850704294057,2.61588307523482,30.0420440881971
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.34106399614094,0.261567213963023,0.261567213963023,0.585002320471333,-2.29240799431437,1.08665616650709,2.27791879661067
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.0779180640828123,0.925040217457151,0.925040217457151,0.430169510307817,-0.181133395593417,1.48900313968359,8.5798925191302
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.440426496450097,0.643761800402352,0.643761800402352,0.293073129274171,-1.50278702636732,1.43686072504922,3.13734573279684
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.274375570782464,0.760046570365448,0.760046570365448,0.326839075395721,-0.839482153259256,1.49261451111038,4.23028148308366
"feeding_first_yearFormula","feeding_first_yearFormula",-0.172217748461938,0.841795853458075,0.841795853458075,0.346362662013769,-0.497217995325062,1.5325840643472,5.25776585030063
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.991379232247,481000675.409597,481000675.409597,2312.13540552746,0.00864628394360255,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.452671044015131,0.63592729131111,0.63592729131111,3694.46734963031,-0.000122526740982141,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5302024288827,303290736.214184,303290736.214184,2312.13538369346,0.00844682476926793,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7918049845475,393977746.438872,393977746.438872,2312.13546608447,0.00855996773323334,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.4981164594781,798396947.336642,798396947.336642,2312.13545367225,0.00886544792474073,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.4465489674958,278951633.323981,278951633.323981,2312.1353694901,0.00841064464654785,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5738620615408,116553629.201445,116553629.201445,2312.13536550517,0.00803320702526544,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.8087922925949,147419421.948069,147419421.948069,2312.13539158995,0.00813481440620175,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2834235552431,644138005.421099,644138005.421099,2312.13537761416,0.00877259340072599,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",-0.254115842916023,0.77560194885072,0.77560194885072,35361.0402401911,-7.18632260787387e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",-0.114577803345521,0.891742555164901,0.891742555164901,35361.0402378263,-3.24022717021075e-06,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.05229200320757,1.05368337652183,1.05368337652183,35361.0402387099,1.47880274037656e-06,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",-0.537572675511736,0.584164489615778,0.584164489615778,35361.0402386611,-1.52023999261197e-05,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.3697749751204,702232409.680722,702232409.680722,35285.3615622769,0.000577286842850366,1,Inf
