"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.4599439885432,4.30571835203347,4.30571835203347,0.639501654274936,2.28294012811972,3.4192511147173,3539940.71440572
"CountryUSA","CountryUSA",0.446125104901977,1.56224689905388,1.56224689905388,0.562327038769499,0.793355243735392,1.68020324453052,110.311354110904
"SexMale","SexMale",0.64571228332245,1.9073451156594,1.9073451156594,0.326347208983307,1.97860519577932,2.73491962909695,37.1848337740506
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.23514591788245,0.290792327471265,0.290792327471265,0.585592844235851,-2.10922303788429,1.09667600094259,2.50003788513303
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.351633929205131,0.703537619417879,0.703537619417879,0.429793097508278,-0.818146990362866,1.3539183831843,5.12193783624899
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.544668949575039,0.580033771985839,0.580033771985839,0.295369818841363,-1.84402371139879,1.38418673893681,2.81465128775255
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.229276737431606,0.795108466781203,0.795108466781203,0.330451438638978,-0.693828837229223,1.51596177722053,4.570042757747
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0564823349435853,0.945083179295368,0.945083179295368,0.342877503463936,-0.164730361055975,1.62032641779223,6.36405243506483
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.8215916923086,405889572.765671,405889572.765671,2334.54597633985,0.00849055529134848,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.294863346005519,0.744633337633479,0.744633337633479,3748.60894390073,-7.86594041731891e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5426953217502,307103481.409476,307103481.409476,2334.54595911084,0.00837109042359285,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.9271976103377,451099101.391221,451099101.391221,2334.54603401598,0.00853579125019782,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.2143373163187,601139342.266149,601139342.266149,2334.54602044348,0.00865878724998476,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.4399347498078,277112674.83682,277112674.83682,2334.54594117657,0.00832707311812866,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5225537098545,110724280.520249,110724280.520249,2334.54593521751,0.00793411405208811,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.745191537481,138335373.482033,138335373.482033,2334.54596198155,0.00802948061111214,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2831552205684,643965184.047,643965184.047,2334.54594763451,0.00868826558805595,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.259664981007798,1.29649566322929,1.29649566322929,35166.726744178,7.38382570822536e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.333044928972045,1.39520998241193,1.39520998241193,35166.7267421404,9.47045573544824e-06,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.472438475119648,1.60390050002946,1.60390050002946,35166.7267430933,1.34342464844964e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0354949291656308,1.03613239405899,1.03613239405899,35166.726742608,1.00933275437959e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.019735971289,1345102387.03025,1345102387.03025,35089.1585520508,0.000599037903405651,1,Inf
