"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",1.30241559124707,3.67817090247932,3.67817090247932,0.427691233807031,3.04522395667035,4.90704229554589,4940.27727493213
"CountryUSA","CountryUSA",0.408528257349762,1.50460176821565,1.50460176821565,0.557136721064275,0.733263922308636,1.65678238737257,88.5806361212033
"SexMale","SexMale",0.707513368527121,2.02893975518411,2.02893975518411,0.321819489307092,2.19847893628339,2.94403638088003,45.2604942146642
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.14607124882543,0.317883203319834,0.317883203319834,0.582735607650426,-1.96670880203521,1.10677201382727,2.70763962633128
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.420632041343637,0.656631670269887,0.656631670269887,0.429715070199334,-0.978862670905437,1.32689877539126,4.5923392150837
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.551705183764464,0.575966843238898,0.575966843238898,0.298242371714311,-1.84985513826636,1.37853419633702,2.81056148069748
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.260743024011845,0.770478888751122,0.770478888751122,0.330076279332828,-0.789947779764349,1.49699371144378,4.35520188077235
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0813610340440946,0.921860808221451,0.921860808221451,0.345041531410544,-0.235800698285471,1.59803716901467,6.12797312159997
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.7781045792247,388616898.373035,388616898.373035,2402.47635715214,0.00823238260819741,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.212503570436374,0.808557429413442,0.808557429413442,3846.03989495364,-5.52525652984512e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6156814865136,330356022.359663,330356022.359663,2402.4763432419,0.00816477612430689,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.9761179090925,473715699.245884,473715699.245884,2402.47641162868,0.00831480293100999,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.1528823529943,565308610.347037,565308610.347037,2402.47639889873,0.00838837890862619,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.4037297096146,267259247.476387,267259247.476387,2402.47632408796,0.00807655397685583,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.5065158249678,108962661.337169,108962661.337169,2402.47631984035,0.00770310020212711,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.7732518584885,142272082.828295,142272082.828295,2402.47634351448,0.00781412558303318,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2581401595432,628056167.76119,628056167.76119,2402.47632833752,0.00843219136879554,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.606716654378408,1.83439853581341,1.83439853581341,42616.0097933637,1.42368245483388e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.710991921613872,2.03600981950019,2.03600981950019,42616.0097916955,1.66836812054709e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.780906940709146,2.18345162894862,2.18345162894862,42616.0097925096,1.83242622786895e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.327959228201919,1.38813237448274,1.38813237448274,42616.0097920659,7.69568126631548e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.2949910428106,1771320309.11213,1771320309.11213,42548.2283614321,0.000500490663487026,1,Inf
