"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.889962175396044,2.43503754521718,2.43503754521718,0.571235066223871,1.55796138580761,2.21404529106923,1737.23770712002
"CountryUSA","CountryUSA",0.356555200261462,1.42840037641674,1.42840037641674,0.560054218585524,0.636644075571789,1.61054825734795,72.3296435389712
"SexMale","SexMale",0.766219711483283,2.15161712694689,2.15161712694689,0.329533002538754,2.32516836122711,3.08912550328642,60.6145691895651
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.15270442703584,0.31578160522515,0.31578160522515,0.582134114097276,-1.98013550335107,1.10616144662479,2.68673350463498
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.366092565794538,0.69343860954297,0.69343860954297,0.421158392305772,-0.869251503668827,1.35493128448802,4.86985810377584
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.475778469246441,0.621401126460493,0.621401126460493,0.298480237042676,-1.59400325448822,1.41366068437881,3.0508527714037
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.209986562692222,0.810595138113361,0.810595138113361,0.331983177141408,-0.632521697335218,1.52635447588352,4.72929734175554
"feeding_first_yearFormula","feeding_first_yearFormula",-0.179315937293212,0.835841784086476,0.835841784086476,0.346098836802629,-0.518106154154662,1.52829789901848,5.19197972596342
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6047876102883,326776696.506632,326776696.506632,2341.71213384248,0.00837198873719767,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.43309524874093,0.648498720176596,0.648498720176596,3742.89073485319,-0.000115711432532085,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.477544422064,287733258.184272,287733258.184272,2341.71212237666,0.00831765110490855,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6852098492451,354142470.52563,354142470.52563,2341.7121865765,0.00840633189769753,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.8756624909818,428440526.176538,428440526.176538,2341.71217309774,0.00848766245455746,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2464003492518,228352340.977764,228352340.977764,2341.7120993147,0.00821894388933816,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.3798343203217,95997654.8340482,95997654.8340482,2341.71209464104,0.00784888730018672,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.4511867247748,103097605.611502,103097605.611502,2341.71212123344,0.00787935739729445,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.0911948724941,531489963.646215,531489963.646215,2341.71210454621,0.00857970321521974,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.42418414142526,1.52834299913222,1.52834299913222,33920.7760750221,1.25051425853907e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.464769048623333,1.59164655347309,1.59164655347309,33920.7760731097,1.37016042210123e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.660974917211035,1.93667951652231,1.93667951652231,33920.7760739833,1.94858430057557e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.134064740344867,1.14346684568632,1.14346684568632,33920.7760734521,3.95228989025967e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9429576659638,1245692785.06033,1245692785.06033,33839.856240882,0.000618884356862678,1,Inf
