"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.146605112332231,1.15789663363775,1.15789663363775,0.339435071946738,0.431909146840416,1.81359047721684,9.50816311343158
"CountryUSA","CountryUSA",0.392342502598019,1.48044468072755,1.48044468072755,0.559018847014623,0.701841279043237,1.64040341018318,83.78274993128
"SexMale","SexMale",0.729980462433119,2.07504006604401,2.07504006604401,0.324042009688348,2.2527340301808,3.00271140523125,50.203257328767
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.22461888511083,0.293869677093588,0.293869677093588,0.582718435700783,-2.10156193812212,1.09832608592697,2.51130020611395
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.368092505250237,0.692053160176853,0.692053160176853,0.422156092749021,-0.87193460327262,1.35330758498672,4.86951519434626
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.525800462355447,0.591082036032507,0.591082036032507,0.295452671475041,-1.77964362187148,1.39271016052835,2.87117354820871
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.173374925141286,0.840822310317027,0.840822310317027,0.326966014315352,-0.53025365802719,1.55735092781175,4.93299366011712
"feeding_first_yearFormula","feeding_first_yearFormula",-0.100079684931544,0.904765319000886,0.904765319000886,0.341682554944719,-0.292902530384486,1.58902687834813,5.85660548990894
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.690541363254,356035628.282542,356035628.282542,2322.90153265388,0.00847670083576803,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.407349186008474,0.66541179724021,0.66541179724021,3723.83868035158,-0.000109389589876115,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5496711752818,309253279.936801,309253279.936801,2322.90151807743,0.00841605682511341,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7569734038389,380491122.495564,380491122.495564,2322.90158761151,0.00850529936748367,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9876841165436,479226601.982431,479226601.982431,2322.90157318146,0.0086046194756192,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3289760895456,248009122.951036,248009122.951036,2322.90149754488,0.00832104852916695,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4707346015102,105132771.679462,105132771.679462,2322.9014927432,0.00795157894521712,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6577544160854,126753449.63056,126753449.63056,2322.90151747979,0.00803209015779883,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1630598268598,571091401.140339,571091401.140339,2322.90150338023,0.00868011829064598,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.351618863970289,1.42136668641265,1.42136668641265,33768.3554474393,1.0412673620354e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.385065421558993,1.4697104690462,1.4697104690462,33768.355445397,1.14031440524736e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.602820185491554,1.82726476627374,1.82726476627374,33768.3554462858,1.78516299513146e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0799352178359541,1.08321689226751,1.08321689226751,33768.3554459056,2.36716348132513e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0007210286037,1319766981.24759,1319766981.24759,33688.3656091104,0.000623382008859592,1,Inf
