"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.152625533001536,0.858451123245973,0.858451123245973,0.541216509296139,-0.282004577428778,1.34606831440472,11.9377343182681
"CountryUSA","CountryUSA",0.412961519217768,1.51128686931414,1.51128686931414,0.559313362816617,0.738336586735845,1.65692219818084,92.1198829451069
"SexMale","SexMale",0.719291087687231,2.05297731375769,2.05297731375769,0.323491752062182,2.22352218596586,2.97129824482298,47.9551464828386
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20414938923904,0.299947029203127,0.299947029203127,0.581756132259703,-2.06985250771967,1.10065731577779,2.55505113218417
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.377076161034341,0.68586383580764,0.68586383580764,0.423545762463139,-0.890284343399984,1.34855039185636,4.82164841193666
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.504019538138324,0.604097579798485,0.604097579798485,0.29491456632805,-1.709035753689,1.40340715178915,2.93529916863644
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.168202456827832,0.84518270435273,0.84518270435273,0.327668306256352,-0.513331480696329,1.5599769207137,4.98499341779738
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0721484961902277,0.930392725777404,0.930392725777404,0.341594185302605,-0.21121113676544,1.61014169418382,6.15535025985235
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6508571667029,342183317.22606,342183317.22606,2330.26889755475,0.00843287106793698,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.423542041059341,0.654723649812016,0.654723649812016,3730.94074652048,-0.00011352151369714,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5572385283213,311602385.731035,311602385.731035,2330.26888416507,0.00839269607950352,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7412274450909,374546846.951267,374546846.951267,2330.26895247012,0.00847165191990604,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9706547641608,471134778.116753,471134778.116753,2330.26893927396,0.00857010726426411,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.310288306255,243417420.210621,243417420.210621,2330.26886240063,0.00828672116674196,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4496732909137,102941692.21624,102941692.21624,2330.26885756666,0.00791740113206483,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6351967073784,123926190.368229,123926190.368229,2330.26888235506,0.00799701564419678,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1541873214036,566046801.778523,566046801.778523,2330.2688680391,0.00864886777565849,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.383957573021394,1.46808315402809,1.46808315402809,33813.3181646715,1.13552172298357e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.411225604294257,1.50866567962336,1.50866567962336,33813.3181626239,1.21616459619988e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.639862498409012,1.89622012809403,1.89622012809403,33813.3181635662,1.89233867943331e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.116696463895697,1.12377827063774,1.12377827063774,33813.3181630404,3.45119823298655e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0234305546273,1350081171.50144,1350081171.50144,33732.9217828685,0.000623231829426178,1,Inf
