"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-18.7973088707085,29232.0354466913,-0.000643037974724272,0.999486929963316
"2","fixed",NA,"Dx.StatusCONTROL",0.155517470394514,0.886258167490754,0.175476487663665,0.860705244252723
"3","fixed",NA,"month",0.010280612407102,0.0185560530333621,0.554030126375389,0.579558228170292
"4","fixed",NA,"CountryUSA",-1.06296320563075,0.720309590898381,-1.47570325185454,0.140023572614844
"5","fixed",NA,"SexMale",-1.13075067325059,0.652641327304692,-1.73257595855968,0.0831710654364839
"6","fixed",NA,"Delivery.ModeVaginal",0.285683642648567,0.646195863134792,0.442100698792272,0.658416338756848
"7","fixed",NA,"HLA.CategoryLow/No Risk",-0.219030922347246,1.01678263717604,-0.215415679161841,0.829443246742003
"8","fixed",NA,"HLA.CategoryStandard Risk",-0.188010729823173,0.577880333945953,-0.32534543707237,0.744919645895918
"9","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.425731079341329,0.503441300777494,0.845641942136744,0.39775252026213
"10","fixed",NA,"feeding_first_yearFormula",-0.650661507757517,0.630102873319221,-1.03262742531231,0.301778288643512
"11","fixed",NA,"Age.at.Gluten.Introduction..months.11",-1.66092593117033,1.42406411871774,-1.1663280531679,0.243481835134181
"12","fixed",NA,"Age.at.Gluten.Introduction..months.15",-25.8744471874627,192559.171312955,-0.000134371409115645,0.999892787127576
"13","fixed",NA,"Age.at.Gluten.Introduction..months.36",-25.9198922105724,193844.614503325,-0.000133714791494132,0.999893311032634
"14","fixed",NA,"Age.at.Gluten.Introduction..months.4",-1.26785683671641,1.72564600232491,-0.734714324379545,0.462513494607676
"15","fixed",NA,"Age.at.Gluten.Introduction..months.5",-0.0247231452720925,1.24337004237777,-0.0198839801744081,0.98413592458872
"16","fixed",NA,"Age.at.Gluten.Introduction..months.6",-1.45103977557519,0.968007902223533,-1.49899579563568,0.133874722775446
"17","fixed",NA,"Age.at.Gluten.Introduction..months.7",-1.21213860100405,0.738865855312494,-1.64053947315158,0.100893048119263
"18","fixed",NA,"Age.at.Gluten.Introduction..months.8",-0.335111100468566,0.820345880400017,-0.40849976634875,0.68290680204784
"19","fixed",NA,"Age.at.Gluten.Introduction..months.9",-1.55939285330835,1.0399788218224,-1.49944673928625,0.133757776009198
"20","fixed",NA,"Age.at.Solid.Introduction..months.4",18.1398654855036,29232.0354392527,0.000620547464893446,0.999504874790293
"21","fixed",NA,"Age.at.Solid.Introduction..months.5",18.2721372103277,29232.035429069,0.000625072354426523,0.999501264451496
"22","fixed",NA,"Age.at.Solid.Introduction..months.6",18.4791739452714,29232.0354306784,0.000632154883264745,0.999495613412201
"23","fixed",NA,"Age.at.Solid.Introduction..months.7",18.2544518008512,29232.035429178,0.000624467353464905,0.999501747172328
"24","fixed",NA,"Age.at.Solid.Introduction..months.8",-12.2892993399988,1925296.20033644,-6.38306944035483e-06,0.999994907047443
"25","fixed",NA,"Dx.StatusCONTROL:month",-0.0065151288867858,0.0257168388880406,-0.25334096912726,0.800004739660482
"26","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
