"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-1.20233545997462,1.82170919220079,-0.660004058343739,0.509251224994942
"2","fixed",NA,"CountryUSA",-0.659672992331003,0.700528207976125,-0.94167941393373,0.346356797751179
"3","fixed",NA,"SexMale",0.228275140167456,0.511801161373599,0.446023099195007,0.655580560373065
"4","fixed",NA,"Delivery.ModeVaginal",-0.666800697366022,0.662938585931006,-1.00582574542647,0.314499400452478
"5","fixed",NA,"HLA.CategoryLow/No Risk",-1.03330776263344,0.959194347959427,-1.07726631712508,0.281361305547006
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.834203597374018,0.598274358553112,-1.39434957465248,0.163212067379237
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.776573101840652,0.531690785709926,1.46057280417932,0.144132714213051
"8","fixed",NA,"feeding_first_yearFormula",-0.52527414749703,0.764411627603902,-0.687161378148493,0.491981039431857
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.037888398775351,0.049986826606643,0.757967675633879,0.448470334044883
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.0113905499188273,0.24170996002945,0.0471248678268761,0.96241370769195
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.021130846290714,0.018787012460818,-1.12475819850465,0.260691512389935
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0186253658691481,0.0192727364222525,-0.96641003441748,0.333839044931297
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
