"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-20.0877689140642,17774.6975279066,-0.00113013281281023,0.999098284668947
"2","fixed",NA,"Dx.StatusCONTROL",1.9924209063015,0.856207242786563,2.32703112837154,0.0199636085492022
"3","fixed",NA,"month",0.0049800275191648,0.0160759491450664,0.309781243659454,0.75672731584725
"4","fixed",NA,"CountryUSA",0.086504430343031,0.791146547648085,0.109340590059061,0.912932353360283
"5","fixed",NA,"SexMale",0.156431593807032,0.67656986682693,0.231212771181617,0.817149508825972
"6","fixed",NA,"Delivery.ModeVaginal",0.261850981508072,0.756153033923922,0.346293633379004,0.729122052804836
"7","fixed",NA,"HLA.CategoryLow/No Risk",0.716027221894552,0.769490935337764,0.930520671540147,0.352101566295661
"8","fixed",NA,"HLA.CategoryStandard Risk",-0.758640198128003,0.547206330044261,-1.38638783302569,0.165628509641481
"9","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-0.353784261438972,0.600223349899122,-0.589421023854589,0.555578876682137
"10","fixed",NA,"feeding_first_yearFormula",-0.699253672830828,0.621083109551277,-1.12586167950378,0.26022407171681
"11","fixed",NA,"Age.at.Gluten.Introduction..months.11",0.296551055284956,1.30421008587215,0.227379820549882,0.820128410236203
"12","fixed",NA,"Age.at.Gluten.Introduction..months.15",-2.98158783336791,1.42333587090959,-2.09478865410911,0.0361897841490393
"13","fixed",NA,"Age.at.Gluten.Introduction..months.36",-1.10572741654324,1.49809748082883,-0.738087761773344,0.460461120129535
"14","fixed",NA,"Age.at.Gluten.Introduction..months.4",3.28172311730955,1.89991833716646,1.72729693330078,0.0841143496756364
"15","fixed",NA,"Age.at.Gluten.Introduction..months.5",-16.396021755896,5642.33895422147,-0.00290589095921451,0.997681437731335
"16","fixed",NA,"Age.at.Gluten.Introduction..months.6",-0.14242955534688,0.914296232103348,-0.155780534082722,0.876206014839318
"17","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.712666227357015,0.760853370563527,-0.936666978065929,0.348929887402827
"18","fixed",NA,"Age.at.Gluten.Introduction..months.8",-1.29037865921392,1.0153005130091,-1.27093273634773,0.203752579057619
"19","fixed",NA,"Age.at.Gluten.Introduction..months.9",1.45989856286383,1.00849677749662,1.44759863932112,0.147729331932661
"20","fixed",NA,"Age.at.Solid.Introduction..months.4",16.3780736459543,17774.6975566986,0.000921426291148456,0.999264808292408
"21","fixed",NA,"Age.at.Solid.Introduction..months.5",18.173458220308,17774.6975146648,0.00102243417674558,0.99918421569807
"22","fixed",NA,"Age.at.Solid.Introduction..months.6",18.6909140971896,17774.6975191217,0.00105154611363047,0.999160987745585
"23","fixed",NA,"Age.at.Solid.Introduction..months.7",15.7007959485736,17774.6975215506,0.000883322820517055,0.999295210450958
"24","fixed",NA,"Age.at.Solid.Introduction..months.8",0.660719361792783,18795.5140321101,3.51530349563206e-05,0.999971951936149
"25","fixed",NA,"Dx.StatusCONTROL:month",-0.0195011264503772,0.0232495187794799,-0.838775487585099,0.40159530852304
"26","ran_pars","patientID","sd__(Intercept)",0.179771476436602,NA,NA,NA
