"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-13.6432249976394,823408.60123818,-1.65692038887179e-05,0.999986779688033
"2","fixed",NA,"CountryUSA",-15.9229261062063,37881.4399048641,-0.000420335820026781,0.999664620548724
"3","fixed",NA,"SexMale",-5490.56913967159,8296209.05557004,-0.000661816632499785,0.999471946765394
"4","fixed",NA,"Delivery.ModeVaginal",19.218023622694,405956.072952641,4.73401555072585e-05,0.999962228020829
"5","fixed",NA,"HLA.CategoryLow/No Risk",-189.659224614536,1498559.67116301,-0.000126561009390667,0.999899018924877
"6","fixed",NA,"HLA.CategoryStandard Risk",4.59191662893579,407267.337649265,1.12749445006815e-05,0.999991003895859
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",2.68292274943524,73350.4765596208,3.65767596241111e-05,0.999970815968218
"8","fixed",NA,"feeding_first_yearFormula",-33863.7971532991,9155382.02674598,-0.00369878581301921,0.997048802635307
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",6.80272455527693,4954.10321042419,0.00137314954217404,0.99890438552493
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-13.4872706223578,36914.287824369,-0.000365367217336756,0.999708479144749
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.716908355735341,33335.7812309361,-2.1505671361619e-05,0.999982840956852
"12","fixed",NA,"Dx.StatusCONTROL:month",0.0450899597293872,0.0484468385546176,0.930710054043136,0.35200356752193
"13","ran_pars","patientID","sd__(Intercept)",5.25483512963514e-09,NA,NA,NA
