"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-2.39043120455571,2.00324523961519,-1.19327936354657,0.232759981737723
"2","fixed",NA,"CountryUSA",-0.512503531449508,0.734131426769714,-0.698108693840555,0.48510922152256
"3","fixed",NA,"SexMale",0.0836331692958252,0.591890580832108,0.141298361562452,0.887634243913542
"4","fixed",NA,"Delivery.ModeVaginal",-0.558243891745705,0.687519820352305,-0.811967706559565,0.416810161916588
"5","fixed",NA,"HLA.CategoryLow/No Risk",0.361209097016149,0.959390003667583,0.376498708174265,0.706546175687865
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.0238586667198955,0.675791282090829,-0.0353047861849878,0.971836706887896
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.601943040814358,0.630795936261315,0.954259541337621,0.339952282225661
"8","fixed",NA,"feeding_first_yearFormula",1.02030387788248,0.699677214951377,1.45824939855071,0.144771812241492
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-0.00204661110419733,0.0571944160562994,-0.0357834076351571,0.971455063383062
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.0349680172500777,0.265595088056257,0.131659126326429,0.895253916471346
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.00551536673151329,0.0179651530590713,-0.307003603775497,0.758840629183682
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0100016361418082,0.0170565074805518,-0.586382420505035,0.557618555113
"13","ran_pars","patientID","sd__(Intercept)",0.754915552792099,NA,NA,NA
