"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",45.148867074413,20781.2276038154,0.00217257940364041,0.998266533800406
"2","fixed",NA,"CountryUSA",3.17483351117875,4.71443273995548,0.673428530281403,0.500674702969383
"3","fixed",NA,"SexMale",-45.2492663158695,2196803.77700244,-2.05977733603556e-05,0.99998356535465
"4","fixed",NA,"Delivery.ModeVaginal",-3.37700344706028,3.87957983660129,-0.870455974433228,0.384051268686046
"5","fixed",NA,"HLA.CategoryLow/No Risk",15.2437270872852,9.42829498059184,1.61680633865024,0.105920090750209
"6","fixed",NA,"HLA.CategoryStandard Risk",0.095603009097701,2.04001746878578,0.0468638188449454,0.962621764773029
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-1.8566894185668,1.77364383683458,-1.04682201691656,0.295181673906421
"8","fixed",NA,"feeding_first_yearFormula",-34.8827688863388,412987.444997315,-8.44644778161853e-05,0.999932607097294
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-2.24853400431412,1.46949959729998,-1.53013584246333,0.125983107937664
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",1.76990969213687,1.57610467011116,1.12296456301474,0.261452545084924
"11","fixed",NA,"Dx.StatusCELIAC:month",-3.57209229681584,1731.76888156575,-0.00206268419235377,0.998354217296151
"12","fixed",NA,"Dx.StatusCONTROL:month",-3.40947057133092,1731.7688768975,-0.00196877921575716,0.998429142474916
"13","ran_pars","patientID","sd__(Intercept)",3.54453983285579e-05,NA,NA,NA
