"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-55.0801962297565,64492.3261120759,-0.00085405814226699,0.999318560277099
"2","fixed",NA,"CountryUSA",200.083279642409,53282.3489682778,0.00375515125584141,0.997003829831066
"3","fixed",NA,"SexMale",-25.4944506763613,4715036.45489779,-5.40705271745645e-06,0.999995685796117
"4","fixed",NA,"Delivery.ModeVaginal",-126.049653895715,39667.3505737804,-0.00317766757982148,0.997464592365607
"5","fixed",NA,"HLA.CategoryLow/No Risk",-138.301103762009,52658.0966067343,-0.00262639769900687,0.997904440234617
"6","fixed",NA,"HLA.CategoryStandard Risk",13.7440381998681,30836.0390999143,0.000445713476861763,0.999644372110045
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",19.781990085069,21428.8065340147,0.000923149408888839,0.999263433443951
"8","fixed",NA,"feeding_first_yearFormula",45.749981785491,21977.8320292507,0.00208164216218422,0.998339091057195
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",5.79935035214968,1784.62396890913,0.0032496203419786,0.997407182664038
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-22.142693681002,10102.636638594,-0.00219177373918534,0.998251218972884
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0145582395813669,0.0490912923678355,-0.296554416866512,0.766806716090176
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0549508591043173,0.0588370438715815,-0.933950033659982,0.350329667956494
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
