"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-103.487489167693,70918567.1363604,-1.4592439377506e-06,0.999998835691792
"2","fixed",NA,"Dx.StatusCELIAC",-11.6177102068971,18727991.2935506,-6.20339363939043e-07,0.999999505040799
"3","fixed",NA,"month18",-72.6928719510883,16916861.8302284,-4.29706600908656e-06,0.999996571437375
"4","fixed",NA,"month24",-72.6559205710275,17972786.1096462,-4.04255189639363e-06,0.999996774510256
"5","fixed",NA,"month30",-74.0673984156924,18697559.6564699,-3.96134039824084e-06,0.999996839307656
"6","fixed",NA,"month36",-73.5754456360237,20435055.1762309,-3.60045250680816e-06,0.999997127254533
"7","fixed",NA,"month48",-73.7849513969712,20898962.7039639,-3.530555675999e-06,0.999997183024135
"8","fixed",NA,"month54",-13.8150460191626,71561001.7458422,-1.93052719807199e-07,0.999999845966215
"9","fixed",NA,"month60",-75.7529441223766,27251264.8654948,-2.77979552495173e-06,0.999997782044068
"10","fixed",NA,"month72",-11.7420741687153,51398635.9577108,-2.2845108532406e-07,0.999999817722406
"11","fixed",NA,"month84",-11.7768405183949,51398635.9577108,-2.29127491400443e-07,0.999999817182712
"12","fixed",NA,"CountryUSA",38.4564549984584,15304080.2211478,2.51282366811679e-06,0.999997995056791
"13","fixed",NA,"SexMale",19.116014510598,11484095.7766696,1.66456418357577e-06,0.999998671869937
"14","fixed",NA,"Delivery.ModeVaginal",29.4701747163914,14442795.4081254,2.04047581396963e-06,0.999998371935851
"15","fixed",NA,"HLA.CategoryLow/No Risk",-21.410290883498,16866309.1149029,-1.26941174489563e-06,0.999998987155967
"16","fixed",NA,"HLA.CategoryStandard Risk",12.1716314470184,11855743.502405,1.02664429645845e-06,0.999999180856366
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",26.7741174577556,10527842.8385493,2.54317222135176e-06,0.999997970842149
"18","fixed",NA,"feeding_first_yearFormula",17.0909459144017,12978144.8897594,1.31690207341479e-06,0.999998949264168
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",-76.3552538483647,29705032.8626098,-2.57044838837644e-06,0.999997949078917
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",-85.1216228144688,25987158.7197767,-3.27552633715551e-06,0.999997386508107
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",-37.5628487800879,33481244.8089647,-1.12190717502924e-06,0.999999104847586
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",-55.9372664261175,39898696.2457587,-1.4019823124437e-06,0.999998881379958
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",-60.1427171967606,30006412.7915819,-2.00432879513119e-06,0.999998400777
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-87.64062625094,19890954.2501329,-4.40605438778053e-06,0.99999648447723
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-75.6257486424293,16422882.7855824,-4.60490095617201e-06,0.999996325820623
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-67.0821591389175,19573203.8927161,-3.42724469160009e-06,0.999997265454375
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",-84.1098312445837,22127243.3424897,-3.80118887575445e-06,0.999996967090083
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",84.9010446531864,72267938.2332235,1.17480928235691e-06,0.999999062637812
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",32.3050428799516,70796707.8373019,4.56307134424837e-07,0.999999635919582
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",51.7965328447872,71168105.9279168,7.27805414650907e-07,0.999999419295296
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-22.1451409885821,70852604.4210662,-3.125522508245e-07,0.999999750619385
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",38.0143683233034,80114030.694696,4.74503254843976e-07,0.999999621401179
"33","fixed",NA,"Dx.StatusCELIAC:month18",-2.21595489326732,24685389.5071792,-8.97678723126024e-08,0.999999928375601
"34","fixed",NA,"Dx.StatusCELIAC:month24",-2.01547555801647,26642286.9060116,-7.56494952977065e-08,0.999999939640436
"35","fixed",NA,"Dx.StatusCELIAC:month30",0.398102425157893,26908250.0300656,1.47948092021249e-08,0.99999998819545
"36","fixed",NA,"Dx.StatusCELIAC:month36",0.963802823329091,29007352.5854721,3.32261560405825e-08,0.999999973489363
"37","fixed",NA,"Dx.StatusCELIAC:month48",1.28011816742225,29594142.8469022,4.3255794703858e-08,0.999999965486869
"38","fixed",NA,"Dx.StatusCELIAC:month54",-75.2141122005042,100735836.128314,-7.46647023455473e-07,0.999999404261868
"39","fixed",NA,"Dx.StatusCELIAC:month60",67.7257655366485,38569976.4537355,1.75591928654365e-06,0.999998598979111
"40","fixed",NA,"Dx.StatusCELIAC:month72",7.41494779423392,72266342.0943141,1.02605826991447e-07,0.999999918132395
"41","fixed",NA,"Dx.StatusCELIAC:month84",7.24285590531514,72266342.0943141,1.00224470969661e-07,0.999999920032442
"42","ran_pars","patientID","sd__(Intercept)",0.210467425585535,NA,NA,NA
