"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",79.6873350088811,172368.840396435,0.00046230707838845,0.999631132332944
"2","fixed",NA,"CountryUSA",-46.6989928490135,190051.152141363,-0.000245718020242667,0.99980394538731
"3","fixed",NA,"SexMale",-65.6709144520945,48901.812347831,-0.00134291371421958,0.998928510202991
"4","fixed",NA,"Delivery.ModeVaginal",137.053881046365,224873.54129833,0.000609470906426212,0.99951371260361
"5","fixed",NA,"HLA.CategoryLow/No Risk",-613.697194287422,229252.178506479,-0.00267695250830551,0.99786410347462
"6","fixed",NA,"HLA.CategoryStandard Risk",45.8042764212403,54153.3828410657,0.000845824840816887,0.999325129498838
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",87.6178058630319,46644.3481566126,0.00187842277415577,0.998501236351232
"8","fixed",NA,"feeding_first_yearFormula",-70.6650582010066,9049857.28602875,-7.80841685869455e-06,0.999993769784744
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",21.9536009364072,8550.887009412,0.00256740627168185,0.997951508424981
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-86.728190483763,29342.057785594,-0.00295576374082201,0.997641645179794
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0943435847188241,0.0688629842869493,-1.37001882354819,0.170681025772356
"12","fixed",NA,"Dx.StatusCONTROL:month",-5.9709093848967,1846.77074100744,-0.00323316221787199,0.997420314278177
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
