"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-38.8369939294129,70921420.1417896,-5.47605982110455e-07,0.999999563073641
"2","fixed",NA,"Dx.StatusCELIAC",-4.86590498603395,18860018.8895605,-2.58001066410774e-07,0.999999794144932
"3","fixed",NA,"month18",-72.0476748968861,17014570.507057,-4.23446920784767e-06,0.999996621382396
"4","fixed",NA,"month24",-6.98055256130089,18091525.4723407,-3.85846543011154e-07,0.999999692139001
"5","fixed",NA,"month30",-6.95716835247259,18834860.8223187,-3.6937721059391e-07,0.999999705279627
"6","fixed",NA,"month36",-7.12058098616705,20567514.7309261,-3.46205221161712e-07,0.999999723768199
"7","fixed",NA,"month48",-7.46653958329722,21028744.1749656,-3.55063503610739e-07,0.999999716700312
"8","fixed",NA,"month54",-3.99123380607277,71598902.9306505,-5.57443430374709e-08,0.999999955522449
"9","fixed",NA,"month60",-8.35757887204718,27424507.9946441,-3.04748543663185e-07,0.999999756845842
"10","fixed",NA,"month72",-8.51286277610143,51477528.2423207,-1.65370464876028e-07,0.999999868053459
"11","fixed",NA,"month84",-8.49901122052363,51477528.2423206,-1.65101385220288e-07,0.999999868268154
"12","fixed",NA,"CountryUSA",-14.5024927987275,15322907.1886591,-9.46458307171708e-07,0.999999244835529
"13","fixed",NA,"SexMale",-1.68800536846688,11530077.2694833,-1.46400178334844e-07,0.999999883189558
"14","fixed",NA,"Delivery.ModeVaginal",-30.258071686691,14465987.7356453,-2.0916699391451e-06,0.999998331088849
"15","fixed",NA,"HLA.CategoryLow/No Risk",1.51863781900197,16873043.2300216,9.00037887830401e-08,0.999999928187366
"16","fixed",NA,"HLA.CategoryStandard Risk",1.35705059995257,11875607.3749453,1.14272100542464e-07,0.999999908824055
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-28.7867069504963,10546854.310124,-2.72941164294493e-06,0.99999782224459
"18","fixed",NA,"feeding_first_yearFormula",-13.6148963127871,12971712.0065475,-1.04958360977448e-06,0.999999162553442
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",-26.1184850611453,29885685.0027847,-8.73946341156699e-07,0.999999302691707
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",26.0436442034237,26085201.1467871,9.98406876637465e-07,0.999999203386568
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",38.619394716151,33727570.5782209,1.14503932699763e-06,0.999999086390799
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",-18.5249775147562,40059999.6119095,-4.62430796161287e-07,0.999999631033607
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",26.8813742081729,30861178.771442,8.71041719023647e-07,0.999999305009261
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-20.6541190072679,20133458.5252201,-1.0258604591653e-06,0.999999181481778
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-13.5370397351983,16687510.476358,-8.11207864371193e-07,0.999999352749769
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",33.7144454287575,19743575.2939045,1.70761601821764e-06,0.999998637519543
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",-1.22960106331068,22401435.0193164,-5.48893882133184e-08,0.999999956204605
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",36.3859201644133,72385590.4631307,5.02668002452039e-07,0.999999598928962
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",19.6091155293085,70905656.6864333,2.76552202541838e-07,0.999999779343267
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",7.82207684961335,71260431.6826701,1.09767463723008e-07,0.999999912418235
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",39.7051665550651,70907837.7264559,5.59954552672123e-07,0.999999553220908
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",19.8167890530117,80130055.8713058,2.47307815245241e-07,0.999999802676912
"33","fixed",NA,"Dx.StatusCELIAC:month18",71.2567949098335,24875738.7336155,2.86450970051159e-06,0.999997714451936
"34","fixed",NA,"Dx.StatusCELIAC:month24",6.84167497055562,26859455.307599,2.54721285007592e-07,0.999999796761819
"35","fixed",NA,"Dx.StatusCELIAC:month30",6.6274775159157,27134582.6806045,2.44244681922193e-07,0.999999805120939
"36","fixed",NA,"Dx.StatusCELIAC:month36",7.77450001596428,29199669.6157758,2.66253013073954e-07,0.999999787560832
"37","fixed",NA,"Dx.StatusCELIAC:month48",7.91416192534621,29781953.0043733,2.65736834793342e-07,0.999999787972682
"38","fixed",NA,"Dx.StatusCELIAC:month54",3.80082228358012,101239430.110047,3.75429047698967e-08,0.999999970045096
"39","fixed",NA,"Dx.StatusCELIAC:month60",9.85810838491833,38749426.4987858,2.54406562255244e-07,0.999999797012932
"40","fixed",NA,"Dx.StatusCELIAC:month72",12.4172372612647,72353438.7140955,1.71619172245999e-07,0.999999863067712
"41","fixed",NA,"Dx.StatusCELIAC:month84",12.4408298994734,72353438.7140955,1.71945247117186e-07,0.999999862807542
"42","ran_pars","patientID","sd__(Intercept)",0.197324691803759,NA,NA,NA
