"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",24.533705322709,70907590.3722999,3.45995473741174e-07,0.999999723935553
"2","fixed",NA,"Dx.StatusCELIAC",34.9922271443914,18876987.5344802,1.85369763477755e-06,0.999998520963277
"3","fixed",NA,"month18",-73.017102590149,17045668.501677,-4.28361625024946e-06,0.99999658216873
"4","fixed",NA,"month24",-6.56918007887288,18115010.5471999,-3.62637386368418e-07,0.999999710657228
"5","fixed",NA,"month30",71.3160971814408,18539379.8561403,3.84673585280798e-06,0.999996930748854
"6","fixed",NA,"month36",-5.99235608940289,20588639.8115848,-2.91051577192152e-07,0.99999976777444
"7","fixed",NA,"month48",59.7155252847672,21048438.4667063,2.83705251480879e-06,0.9999977363596
"8","fixed",NA,"month54",78.8628212021628,71601291.4156608,1.10141618458175e-06,0.999999121197031
"9","fixed",NA,"month60",61.7806244116419,27438238.8559344,2.25162499444748e-06,0.99999820346318
"10","fixed",NA,"month72",57.3436085831284,51477198.0850323,1.11396134048333e-06,0.999999111187445
"11","fixed",NA,"month84",59.6888911786578,51477198.0850323,1.15952098014467e-06,0.999999074836112
"12","fixed",NA,"CountryUSA",-143.808852488364,15196089.8724419,-9.4635431677172e-06,0.999992449185016
"13","fixed",NA,"SexMale",-52.1503246029442,11507338.4353343,-4.53191890514073e-06,0.999996384051875
"14","fixed",NA,"Delivery.ModeVaginal",116.252255960277,14246081.7144879,8.16029686549193e-06,0.99999348902512
"15","fixed",NA,"HLA.CategoryLow/No Risk",128.817286457195,16830136.1365779,7.6539658034749e-06,0.999993893018857
"16","fixed",NA,"HLA.CategoryStandard Risk",1.41647066244453,11860157.2219642,1.19431018993688e-07,0.999999904707834
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-42.6068298236833,10549679.6320316,-4.03868470984823e-06,0.999996777595824
"18","fixed",NA,"feeding_first_yearFormula",-37.144181312774,12877673.668264,-2.88438597448799e-06,0.999997698592964
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",41.3485385150731,29885136.5503429,1.3835820507435e-06,0.999998896061243
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",24.8377926863727,26085197.1974839,9.52179602029938e-07,0.999999240270596
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",-113.595688510162,33718660.5645675,-3.36892648189979e-06,0.999997311985574
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",90.2537177220358,40055235.0721194,2.25323150792984e-06,0.999998202181368
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",26.5109181172774,30863995.642561,8.5895936560849e-07,0.999999314649584
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",-56.44928606978,20124965.8177621,-2.80493823348303e-06,0.99999776198309
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-23.4241675434628,16685178.5784608,-1.40389073052545e-06,0.999998879857261
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-41.2715709845723,19757764.794316,-2.08887854543372e-06,0.999998333316059
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",-5.25189745049835,22401199.2230512,-2.34447156074308e-07,0.999999812938234
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-196.52982880178,72388518.4234401,-2.71493094598468e-06,0.999997833798515
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-95.5452867319414,70912309.7999978,-1.34737236738471e-06,0.99999892495239
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-117.721665253159,71260377.7785376,-1.65199328045964e-06,0.999998681900067
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-157.741904901558,70920890.5795639,-2.22419520697632e-06,0.999998225348984
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-261.340497890644,80119962.1781338,-3.26186496830335e-06,0.999997397408302
"33","fixed",NA,"Dx.StatusCELIAC:month18",71.8485515237535,24895979.6717767,2.88594995943079e-06,0.999997697345084
"34","fixed",NA,"Dx.StatusCELIAC:month24",29.8222856321116,26873006.5425438,1.10974875791805e-06,0.9999991145486
"35","fixed",NA,"Dx.StatusCELIAC:month30",-47.5741468802912,26957599.7304176,-1.76477681084533e-06,0.999998591911829
"36","fixed",NA,"Dx.StatusCELIAC:month36",29.9816399166799,29215980.8676562,1.02620685755827e-06,0.999999181205392
"37","fixed",NA,"Dx.StatusCELIAC:month48",-32.7279296635139,29800354.0998312,-1.09823962339089e-06,0.99999912373156
"38","fixed",NA,"Dx.StatusCELIAC:month54",86.7698383843984,101240820.84009,8.57063758120367e-07,0.99999931616206
"39","fixed",NA,"Dx.StatusCELIAC:month60",-36.6112879320946,38767515.215393,-9.44380565240812e-07,0.999999246493327
"40","fixed",NA,"Dx.StatusCELIAC:month72",-30.7883553690869,72360128.1888413,-4.25487850004041e-07,0.999999660509814
"41","fixed",NA,"Dx.StatusCELIAC:month84",-30.9150429928541,72360128.1888413,-4.27238643250794e-07,0.999999659112883
"42","ran_pars","patientID","sd__(Intercept)",0.200894052946995,NA,NA,NA
