"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-1.0496314049817,3.07007465570249,-0.341891166402767,0.732432797692927
"2","fixed",NA,"CountryUSA",-1.71064707289156,0.989056860563987,-1.72957404280691,0.0837064070195333
"3","fixed",NA,"SexMale",0.135164540944198,0.778508528270001,0.17361985904581,0.862164223794968
"4","fixed",NA,"Delivery.ModeVaginal",0.644526863912674,0.970362613083628,0.664212383311524,0.506554388861386
"5","fixed",NA,"HLA.CategoryLow/No Risk",0.553442548656478,1.08702850752079,0.509133426425703,0.610658703265665
"6","fixed",NA,"HLA.CategoryStandard Risk",-1.33765102885904,0.938854909004926,-1.42476863680331,0.154224091121933
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",1.04115499383481,0.895711441936485,1.16237768670665,0.245082082827192
"8","fixed",NA,"feeding_first_yearFormula",0.104989068972404,1.06803839844506,0.0983008374279953,0.921693413232596
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",-0.242166791858668,0.24564440882376,-0.985842881660755,0.324210219342087
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",0.185904958327835,0.417780282382993,0.444982604893283,0.656332325079754
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0412570991221102,0.0377526197732253,-1.09282744800058,0.274469567827038
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0485865586111931,0.0427061835584357,-1.1376937614833,0.255248379322233
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
