"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",2.34645986138792,1.05754685193147,2.21877627180528,0.0265019490688752
"2","fixed",NA,"CountryUSA",-0.742412413806945,0.381368892571927,-1.9467041708624,0.0515702113011131
"3","fixed",NA,"SexMale",0.344617144110034,0.313699101669712,1.09855955046016,0.271960229296913
"4","fixed",NA,"Delivery.ModeVaginal",0.216844647615412,0.392521043204842,0.552440821630674,0.580646368894968
"5","fixed",NA,"HLA.CategoryLow/No Risk",-0.809971216376819,0.49523896394516,-1.63551593340808,0.101940937316219
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.493740613491795,0.33395027710543,-1.47848541337164,0.139277898528254
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.298177076665444,0.302036135325376,0.987223188855287,0.323533236256312
"8","fixed",NA,"feeding_first_yearFormula",0.0570471596588889,0.376519339723582,0.1515118976379,0.879571926223615
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.0168069767263547,0.0292722922972202,0.574159910529136,0.565859595014423
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-0.205930142126878,0.140336060262941,-1.46740717774915,0.142265323079261
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0403371171741688,0.0107988506915645,-3.73531575963708,0.000187479797365993
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0410760638304792,0.0109858980795595,-3.73898096751014,0.000184767713508395
"13","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
