"","joint_model.statistics.P.betas1"
"(Intercept)",0
"month",0
"Dx.Status",0.00111111111111111
"CountryUSA",0.312444444444444
"SexMale",0
"Delivery.ModeVaginal",0.668666666666667
"HLA.CategoryLow/No Risk",0.142666666666667
"HLA.CategoryStandard Risk",0.680444444444444
"feeding_first_yearBreastmilk_and_formula",0.184
"feeding_first_yearFormula",0.354888888888889
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.381777777777778
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.729555555555556
"Age.at.Solid.Introduction..months.5",0.39
"Age.at.Solid.Introduction..months.6",0.0877777777777778
"Age.at.Solid.Introduction..months.7",0.128444444444444
"Age.at.Solid.Introduction..months.8",0
