"","joint_model.statistics.P.gammas"
"Virus",0.822444444444444
"CountryUSA",0.227777777777778
"SexMale",0
"Delivery.ModeVaginal",0.484222222222222
"HLA.CategoryLow/No Risk",0
"HLA.CategoryStandard Risk",0.39
"feeding_first_yearBreastmilk_and_formula",0.00355555555555556
"feeding_first_yearFormula",0.00177777777777778
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.652888888888889
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.550222222222222
"Age.at.Solid.Introduction..months.5",0.034
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
