"","joint_model.statistics.P.gammas"
"CountryUSA",0.805777777777778
"SexMale",0
"Delivery.ModeVaginal",0.180666666666667
"HLA.CategoryLow/No Risk",0.518888888888889
"HLA.CategoryStandard Risk",0.281111111111111
"feeding_first_yearBreastmilk_and_formula",0.392222222222222
"feeding_first_yearFormula",0.363555555555556
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.652444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.406
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
