"","joint_model.statistics.P.gammas"
"CountryUSA",0.701777777777778
"SexMale",0
"Delivery.ModeVaginal",0.196888888888889
"HLA.CategoryLow/No Risk",0.186666666666667
"HLA.CategoryStandard Risk",0.881333333333333
"feeding_first_yearBreastmilk_and_formula",0.964666666666667
"feeding_first_yearFormula",0.342
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.762888888888889
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.332222222222222
"Age.at.Solid.Introduction..months.5",0.0702222222222222
"Age.at.Solid.Introduction..months.6",0.00333333333333333
"Age.at.Solid.Introduction..months.7",0.00466666666666667
"Age.at.Solid.Introduction..months.8",0
